para_id,x,y,row,col,word,sentence,word_index_in_sentence,sentence_length,depth
13,380.0,272.0,0,0,【,【,-1,1,0
13,420.0,272.0,0,1,加,加拿大不列颠哥伦比亚省41地发布空气质量警报,0,21,4
13,460.0,272.0,0,2,拿,加拿大不列颠哥伦比亚省41地发布空气质量警报,1,21,4
13,500.0,272.0,0,3,大,加拿大不列颠哥伦比亚省41地发布空气质量警报,2,21,4
13,540.0,272.0,0,4,不,加拿大不列颠哥伦比亚省41地发布空气质量警报,3,21,4
13,580.0,272.0,0,5,列,加拿大不列颠哥伦比亚省41地发布空气质量警报,4,21,4
13,620.0,272.0,0,6,颠,加拿大不列颠哥伦比亚省41地发布空气质量警报,5,21,4
13,660.0,272.0,0,7,哥,加拿大不列颠哥伦比亚省41地发布空气质量警报,6,21,4
13,700.0,272.0,0,8,伦,加拿大不列颠哥伦比亚省41地发布空气质量警报,7,21,4
13,740.0,272.0,0,9,比,加拿大不列颠哥伦比亚省41地发布空气质量警报,8,21,4
13,780.0,272.0,0,10,亚,加拿大不列颠哥伦比亚省41地发布空气质量警报,9,21,4
13,820.0,272.0,0,11,省,加拿大不列颠哥伦比亚省41地发布空气质量警报,10,21,4
13,860.0,272.0,0,12,41,加拿大不列颠哥伦比亚省41地发布空气质量警报,11,21,4
13,900.0,272.0,0,13,地,加拿大不列颠哥伦比亚省41地发布空气质量警报,12,21,4
13,940.0,272.0,0,14,发,加拿大不列颠哥伦比亚省41地发布空气质量警报,13,21,3
13,980.0,272.0,0,15,布,加拿大不列颠哥伦比亚省41地发布空气质量警报,14,21,3
13,1020.0,272.0,0,16,空,加拿大不列颠哥伦比亚省41地发布空气质量警报,15,21,4
13,1060.0,272.0,0,17,气,加拿大不列颠哥伦比亚省41地发布空气质量警报,16,21,4
13,1100.0,272.0,0,18,质,加拿大不列颠哥伦比亚省41地发布空气质量警报,17,21,4
13,1140.0,272.0,0,19,量,加拿大不列颠哥伦比亚省41地发布空气质量警报,18,21,4
13,1180.0,272.0,0,20,警,加拿大不列颠哥伦比亚省41地发布空气质量警报,19,21,4
13,1220.0,272.0,0,21,报,加拿大不列颠哥伦比亚省41地发布空气质量警报,20,21,4
13,1260.0,272.0,0,22,】,】,-1,1,0
13,380.0,336.0,1,0,  ,  ,-1,1,0
13,420.0,336.0,1,1,  ,  ,-1,1,0
13,460.0,336.0,1,2,当,当地时间20日,0,6,3
13,500.0,336.0,1,3,地,当地时间20日,1,6,3
13,540.0,336.0,1,4,时,当地时间20日,2,6,3
13,580.0,336.0,1,5,间,当地时间20日,3,6,3
13,620.0,336.0,1,6,20,当地时间20日,4,6,4
13,660.0,336.0,1,7,日,当地时间20日,5,6,4
13,700.0,336.0,1,8,，,，,-1,1,0
13,740.0,336.0,1,9,根,根据加拿大环境部的公告,0,11,2
13,780.0,336.0,1,10,据,根据加拿大环境部的公告,1,11,2
13,820.0,336.0,1,11,加,根据加拿大环境部的公告,2,11,7
13,860.0,336.0,1,12,拿,根据加拿大环境部的公告,3,11,7
13,900.0,336.0,1,13,大,根据加拿大环境部的公告,4,11,7
