para_id,x,y,row,col,word,sentence,word_index_in_sentence,sentence_length,depth
19,380.0,272.0,0,0,  ,  ,-1,1,0
19,420.0,272.0,0,1,  ,  ,-1,1,0
19,460.0,272.0,0,2,首,首先说下位置是在新东源大厦那个小院里,0,18,5
19,500.0,272.0,0,3,先,首先说下位置是在新东源大厦那个小院里,1,18,5
19,540.0,272.0,0,4,说,首先说下位置是在新东源大厦那个小院里,2,18,5
19,580.0,272.0,0,5,下,首先说下位置是在新东源大厦那个小院里,3,18,6
19,620.0,272.0,0,6,位,首先说下位置是在新东源大厦那个小院里,4,18,6
19,660.0,272.0,0,7,置,首先说下位置是在新东源大厦那个小院里,5,18,6
19,700.0,272.0,0,8,是,首先说下位置是在新东源大厦那个小院里,6,18,4
19,740.0,272.0,0,9,在,首先说下位置是在新东源大厦那个小院里,7,18,4
19,780.0,272.0,0,10,新,首先说下位置是在新东源大厦那个小院里,8,18,6
19,820.0,272.0,0,11,东,首先说下位置是在新东源大厦那个小院里,9,18,6
19,860.0,272.0,0,12,源,首先说下位置是在新东源大厦那个小院里,10,18,6
19,900.0,272.0,0,13,大,首先说下位置是在新东源大厦那个小院里,11,18,6
19,940.0,272.0,0,14,厦,首先说下位置是在新东源大厦那个小院里,12,18,6
19,980.0,272.0,0,15,那,首先说下位置是在新东源大厦那个小院里,13,18,6
19,1020.0,272.0,0,16,个,首先说下位置是在新东源大厦那个小院里,14,18,6
19,1060.0,272.0,0,17,小,首先说下位置是在新东源大厦那个小院里,15,18,6
19,1100.0,272.0,0,18,院,首先说下位置是在新东源大厦那个小院里,16,18,6
19,1140.0,272.0,0,19,里,首先说下位置是在新东源大厦那个小院里,17,18,6
19,1180.0,272.0,0,20,，,，,-1,1,0
19,1220.0,272.0,0,21,别,别走过了是个独立的,0,9,5
19,1260.0,272.0,0,22,走,别走过了是个独立的,1,9,5
19,1300.0,272.0,0,23,过,别走过了是个独立的,2,9,5
19,1340.0,272.0,0,24,了,别走过了是个独立的,3,9,5
19,1380.0,272.0,0,25,是,别走过了是个独立的,4,9,5
19,1420.0,272.0,0,26,个,别走过了是个独立的,5,9,8
19,1460.0,272.0,0,27,独,别走过了是个独立的,6,9,11
19,1500.0,272.0,0,28,立,别走过了是个独立的,7,9,11
19,1540.0,272.0,0,29,的,别走过了是个独立的,8,9,9
19,380.0,336.0,1,0,一,一层,0,2,3
19,420.0,336.0,1,1,层,一层,1,2,4
19,460.0,336.0,1,2,，,，,-1,1,0
19,500.0,336.0,1,3,蛮,蛮好找的,0,4,5
19,540.0,336.0,1,4,好,蛮好找的,1,4,5
19,580.0,336.0,1,5,找,蛮好找的,2,4,5
19,620.0,336.0,1,6,的,蛮好找的,3,4,2
19,660.0,336.0,1,7,。,。,-1,1,0
19,380.0,400.0,2,0,  ,  ,-1,1,0
19,420.0,400.0,2,1,  ,  ,-1,1,0
19,460.0,400.0,2,2,环,环境的话蛮不错的,0,8,5
19,500.0,400.0,2,3,境,环境的话蛮不错的,1,8,5
19,540.0,400.0,2,4,的,环境的话蛮不错的,2,8,5
19,580.0,400.0,2,5,话,环境的话蛮不错的,3,8,5
19,620.0,400.0,2,6,蛮,环境的话蛮不错的,4,8,5
19,660.0,400.0,2,7,不,环境的话蛮不错的,5,8,5
19,700.0,400.0,2,8,错,环境的话蛮不错的,6,8,5
19,740.0,400.0,2,9,的,环境的话蛮不错的,7,8,2
19,780.0,400.0,2,10,，,，,-1,1,0
19,820.0,400.0,2,11,还,还挺大的位置也比较宽敞还有包间日式推拉,0,19,7
19,860.0,400.0,2,12,挺,还挺大的位置也比较宽敞还有包间日式推拉,1,19,7
19,900.0,400.0,2,13,大,还挺大的位置也比较宽敞还有包间日式推拉,2,19,7
19,940.0,400.0,2,14,的,还挺大的位置也比较宽敞还有包间日式推拉,3,19,4
19,980.0,400.0,2,15,位,还挺大的位置也比较宽敞还有包间日式推拉,4,19,5
19,1020.0,400.0,2,16,置,还挺大的位置也比较宽敞还有包间日式推拉,5,19,5
19,1060.0,400.0,2,17,也,还挺大的位置也比较宽敞还有包间日式推拉,6,19,6
19,1100.0,400.0,2,18,比,还挺大的位置也比较宽敞还有包间日式推拉,7,19,6
19,1140.0,400.0,2,19,较,还挺大的位置也比较宽敞还有包间日式推拉,8,19,6
19,1180.0,400.0,2,20,宽,还挺大的位置也比较宽敞还有包间日式推拉,9,19,6
19,1220.0,400.0,2,21,敞,还挺大的位置也比较宽敞还有包间日式推拉,10,19,6
19,1260.0,400.0,2,22,还,还挺大的位置也比较宽敞还有包间日式推拉,11,19,5
19,1300.0,400.0,2,23,有,还挺大的位置也比较宽敞还有包间日式推拉,12,19,5
19,1340.0,400.0,2,24,包,还挺大的位置也比较宽敞还有包间日式推拉,13,19,5
19,1380.0,400.0,2,25,间,还挺大的位置也比较宽敞还有包间日式推拉,14,19,5
19,1420.0,400.0,2,26,日,还挺大的位置也比较宽敞还有包间日式推拉,15,19,5
19,1460.0,400.0,2,27,式,还挺大的位置也比较宽敞还有包间日式推拉,16,19,5
19,1500.0,400.0,2,28,推,还挺大的位置也比较宽敞还有包间日式推拉,17,19,5
19,1540.0,400.0,2,29,拉,还挺大的位置也比较宽敞还有包间日式推拉,18,19,5
19,380.0,464.0,3,0,门,门那种,0,3,2
19,420.0,464.0,3,1,那,门那种,1,3,3
19,460.0,464.0,3,2,种,门那种,2,3,3
19,500.0,464.0,3,3,，,，,-1,1,0
19,540.0,464.0,3,4,其,其他的位置也都有立体的隔断私密性还是比较好的,0,22,6
19,580.0,464.0,3,5,他,其他的位置也都有立体的隔断私密性还是比较好的,1,22,6
19,620.0,464.0,3,6,的,其他的位置也都有立体的隔断私密性还是比较好的,2,22,5
19,660.0,464.0,3,7,位,其他的位置也都有立体的隔断私密性还是比较好的,3,22,5
19,700.0,464.0,3,8,置,其他的位置也都有立体的隔断私密性还是比较好的,4,22,5
19,740.0,464.0,3,9,也,其他的位置也都有立体的隔断私密性还是比较好的,5,22,5
19,780.0,464.0,3,10,都,其他的位置也都有立体的隔断私密性还是比较好的,6,22,5
19,820.0,464.0,3,11,有,其他的位置也都有立体的隔断私密性还是比较好的,7,22,5
19,860.0,464.0,3,12,立,其他的位置也都有立体的隔断私密性还是比较好的,8,22,8
19,900.0,464.0,3,13,体,其他的位置也都有立体的隔断私密性还是比较好的,9,22,8
19,940.0,464.0,3,14,的,其他的位置也都有立体的隔断私密性还是比较好的,10,22,7
19,980.0,464.0,3,15,隔,其他的位置也都有立体的隔断私密性还是比较好的,11,22,7
19,1020.0,464.0,3,16,断,其他的位置也都有立体的隔断私密性还是比较好的,12,22,7
19,1060.0,464.0,3,17,私,其他的位置也都有立体的隔断私密性还是比较好的,13,22,4
19,1100.0,464.0,3,18,密,其他的位置也都有立体的隔断私密性还是比较好的,14,22,4
19,1140.0,464.0,3,19,性,其他的位置也都有立体的隔断私密性还是比较好的,15,22,4
19,1180.0,464.0,3,20,还,其他的位置也都有立体的隔断私密性还是比较好的,16,22,5
19,1220.0,464.0,3,21,是,其他的位置也都有立体的隔断私密性还是比较好的,17,22,5
19,1260.0,464.0,3,22,比,其他的位置也都有立体的隔断私密性还是比较好的,18,22,5
19,1300.0,464.0,3,23,较,其他的位置也都有立体的隔断私密性还是比较好的,19,22,5
19,1340.0,464.0,3,24,好,其他的位置也都有立体的隔断私密性还是比较好的,20,22,5
19,1380.0,464.0,3,25,的,其他的位置也都有立体的隔断私密性还是比较好的,21,22,5
19,1420.0,464.0,3,26,。,。,-1,1,0
19,1460.0,464.0,3,27,整,整体装,0,3,2
19,1500.0,464.0,3,28,体,整体装,1,3,2
19,1540.0,464.0,3,29,装,整体装,2,3,2
19,380.0,528.0,4,0,修,修的话就是非常日式居酒屋,0,12,8
19,420.0,528.0,4,1,的,修的话就是非常日式居酒屋,1,12,6
19,460.0,528.0,4,2,话,修的话就是非常日式居酒屋,2,12,6
19,500.0,528.0,4,3,就,修的话就是非常日式居酒屋,3,12,6
19,540.0,528.0,4,4,是,修的话就是非常日式居酒屋,4,12,6
19,580.0,528.0,4,5,非,修的话就是非常日式居酒屋,5,12,8
19,620.0,528.0,4,6,常,修的话就是非常日式居酒屋,6,12,8
19,660.0,528.0,4,7,日,修的话就是非常日式居酒屋,7,12,8
19,700.0,528.0,4,8,式,修的话就是非常日式居酒屋,8,12,8
19,740.0,528.0,4,9,居,修的话就是非常日式居酒屋,9,12,7
19,780.0,528.0,4,10,酒,修的话就是非常日式居酒屋,10,12,7
19,820.0,528.0,4,11,屋,修的话就是非常日式居酒屋,11,12,7
