original_index,username,iteration,phase,time,gaze_x,gaze_y,speed,matrix_x,matrix_y,density
13,0905-3-hfx,36.0,word,1693889437.803489,503.9999999999999,281.99999999999994,219.49487465542333,28.0,0.0,0
14,0905-3-hfx,36.0,word,1693889437.835986,524.9999999999999,198.0,86.58521813797087,28.0,0.0,3
15,0905-3-hfx,36.0,word,1693889437.8680494,530.9999999999998,161.99999999999997,36.49657518178932,28.0,0.0,7
16,0905-3-hfx,36.0,word,1693889437.8993535,526.0,140.00000000000006,22.56102834535696,28.0,0.0,21
17,0905-3-hfx,36.0,word,1693889437.91535,526.0,125.00000000000006,15.0,28.0,0.0,24
18,0905-3-hfx,36.0,word,1693889437.947666,522.0,116.00000000000004,9.848857801796104,28.0,0.0,22
19,0905-3-hfx,36.0,word,1693889437.98011,517.9999999999999,111.0,6.4031242374328485,28.0,0.0,22
20,0905-3-hfx,36.0,word,1693889438.0112212,518.9999999999998,109.0,2.23606797749979,28.0,0.0,21
21,0905-3-hfx,36.0,word,1693889438.0434265,521.9999999999998,109.00000000000003,3.0,28.0,0.0,21
22,0905-3-hfx,36.0,word,1693889438.075691,520.9999999999998,112.00000000000009,3.1622776601683795,28.0,0.0,22
23,0905-3-hfx,36.0,word,1693889438.107715,517.9999999999998,113.99999999999999,3.605551275463989,28.0,0.0,22
24,0905-3-hfx,36.0,word,1693889438.140115,514.9999999999999,115.00000000000001,3.1622776601683795,28.0,0.0,22
25,0905-3-hfx,36.0,word,1693889438.171529,512.9999999999999,115.0,2.0,28.0,0.0,22
26,0905-3-hfx,36.0,word,1693889438.187553,511.9999999999999,114.0,1.4142135623730951,28.0,0.0,22
27,0905-3-hfx,36.0,word,1693889438.219725,511.0,114.00000000000004,1.0,28.0,0.0,22
28,0905-3-hfx,36.0,word,1693889438.2519846,509.99999999999983,114.00000000000004,1.0,28.0,0.0,22
29,0905-3-hfx,36.0,word,1693889438.2841988,507.99999999999983,112.99999999999996,2.23606797749979,28.0,0.0,20
30,0905-3-hfx,36.0,word,1693889438.3153815,503.99999999999994,112.00000000000003,4.123105625617661,28.0,0.0,20
31,0905-3-hfx,36.0,word,1693889438.3478904,501.00000000000006,111.0,3.1622776601683795,28.0,0.0,19
32,0905-3-hfx,36.0,word,1693889438.3792186,497.0,111.00000000000006,4.0,28.0,0.0,18
33,0905-3-hfx,36.0,word,1693889438.411313,494.0,109.99999999999997,3.1622776601683795,28.0,0.0,18
34,0905-3-hfx,36.0,word,1693889438.443679,490.99999999999994,109.00000000000006,3.1622776601683795,28.0,0.0,18
