original_index,username,iteration,phase,time,gaze_x,gaze_y,speed,matrix_x,matrix_y,density
0,0905-8-dcx,26.0,word,1693912692.172156,860.0000000000002,179.0,3.1622776601683795,39.0,0.0,13
1,0905-8-dcx,26.0,word,1693912692.201175,848.0,174.0,13.0,39.0,0.0,9
2,0905-8-dcx,26.0,word,1693912692.232356,836.0000000000001,169.00000000000003,13.0,39.0,0.0,11
3,0905-8-dcx,26.0,word,1693912692.2485898,825.0000000000001,164.99999999999997,11.704699910719626,39.0,0.0,11
4,0905-8-dcx,26.0,word,1693912692.281785,815.0,160.99999999999994,10.770329614269007,39.0,0.0,9
5,0905-8-dcx,26.0,word,1693912692.313242,806.0,157.99999999999994,9.486832980505138,39.0,0.0,9
6,0905-8-dcx,26.0,word,1693912692.3444588,798.0000000000001,155.00000000000003,8.54400374531753,39.0,0.0,9
7,0905-8-dcx,26.0,word,1693912692.3764975,767.0000000000001,147.0,32.01562118716424,39.0,0.0,5
8,0905-8-dcx,26.0,word,1693912692.4085677,706.0000000000001,137.99999999999997,61.66036003787198,39.0,0.0,5
9,0905-8-dcx,26.0,word,1693912692.4408123,649.0,130.99999999999991,57.42821606144492,39.0,0.0,14
10,0905-8-dcx,26.0,word,1693912692.4728138,608.0000000000002,125.00000000000006,41.43669871020132,39.0,0.0,7
11,0905-8-dcx,26.0,word,1693912692.4888108,580.0000000000001,120.99999999999996,28.284271247461906,39.0,0.0,7
12,0905-8-dcx,26.0,word,1693912692.521117,566.0,117.00000000000003,14.560219778561036,39.0,0.0,9
13,0905-8-dcx,26.0,word,1693912692.552495,559.0,111.99999999999996,8.602325267042627,39.0,0.0,10
14,0905-8-dcx,26.0,word,1693912692.5848951,591.0,103.99999999999999,32.984845004941285,39.0,0.0,9
15,0905-8-dcx,26.0,word,1693912692.6163466,618.0000000000002,99.0,27.459060435491963,39.0,0.0,7
16,0905-8-dcx,26.0,word,1693912692.6483712,643.0,93.00000000000004,25.70992026436488,39.0,0.0,8
17,0905-8-dcx,26.0,word,1693912692.6807053,669.0,87.99999999999996,26.476404589747453,39.0,0.0,12
18,0905-8-dcx,26.0,word,1693912692.7130148,690.0,83.99999999999994,21.37755832643195,39.0,0.0,17
19,0905-8-dcx,26.0,word,1693912692.7463093,707.0000000000002,79.00000000000001,17.72004514666935,39.0,0.0,17
20,0905-8-dcx,26.0,word,1693912692.761424,722.0000000000002,74.99999999999997,15.524174696260024,39.0,0.0,20
21,0905-8-dcx,26.0,word,1693912692.7923758,733.0000000000002,70.99999999999997,11.704699910719626,39.0,0.0,24
22,0905-8-dcx,26.0,word,1693912692.8247783,740.0,68.99999999999999,7.280109889280518,39.0,0.0,24
23,0905-8-dcx,26.0,word,1693912692.856842,783.0000000000002,66.99999999999993,43.04648650006177,39.0,0.0,22
24,0905-8-dcx,26.0,word,1693912692.888733,872.0000000000002,62.99999999999999,89.08984229416954,39.0,0.0,8
25,0905-8-dcx,26.0,word,1693912692.920848,948.0000000000001,59.99999999999994,76.05918747922567,39.0,0.0,5
26,0905-8-dcx,26.0,word,1693912692.9528468,997.0000000000001,58.99999999999999,49.01020301937138,39.0,0.0,10
27,0905-8-dcx,26.0,word,1693912692.985096,1027.0000000000005,58.99999999999998,30.0,39.0,0.0,19
28,0905-8-dcx,26.0,word,1693912693.0173848,1047.0000000000002,58.99999999999993,20.0,39.0,0.0,30
29,0905-8-dcx,26.0,word,1693912693.0332713,1059.0000000000005,58.999999999999936,12.0,39.0,0.0,29
30,0905-8-dcx,26.0,word,1693912693.0647838,1067.0000000000002,57.99999999999999,8.06225774829855,39.0,0.0,27
31,0905-8-dcx,26.0,word,1693912693.0967493,1070.0000000000002,59.00000000000008,3.1622776601683795,39.0,0.0,25
32,0905-8-dcx,26.0,word,1693912693.1287596,1073.0000000000007,58.00000000000002,3.1622776601683795,39.0,0.0,24
33,0905-8-dcx,26.0,word,1693912693.1610944,1075.0000000000002,58.99999999999995,2.23606797749979,39.0,0.0,24
34,0905-8-dcx,26.0,word,1693912693.1932197,1058.0,59.99999999999997,17.029386365926403,39.0,0.0,29
35,0905-8-dcx,26.0,word,1693912693.2245686,1029.0000000000002,60.99999999999999,29.017236257093817,39.0,0.0,21
36,0905-8-dcx,26.0,word,1693912693.2569673,965.0000000000001,63.999999999999964,64.07027391856539,39.0,0.0,7
37,0905-8-dcx,26.0,word,1693912693.288982,897.0,66.00000000000001,68.0294054067798,39.0,0.0,4
38,0905-8-dcx,26.0,word,1693912693.305194,846.0000000000001,69.99999999999994,51.15662224971465,39.0,0.0,9
39,0905-8-dcx,26.0,word,1693912693.336491,816.0000000000002,70.99999999999993,30.01666203960727,39.0,0.0,15
40,0905-8-dcx,26.0,word,1693912693.3688774,796.0000000000001,72.99999999999999,20.09975124224178,39.0,0.0,18
41,0905-8-dcx,26.0,word,1693912693.4011843,783.0000000000001,72.99999999999997,13.0,39.0,0.0,21
42,0905-8-dcx,26.0,word,1693912693.432637,776.0000000000001,71.00000000000006,7.280109889280518,39.0,0.0,23
43,0905-8-dcx,26.0,word,1693912693.46481,770.0,69.99999999999994,6.082762530298219,39.0,0.0,22
44,0905-8-dcx,26.0,word,1693912693.4968936,766.0,67.99999999999991,4.47213595499958,39.0,0.0,21
45,0905-8-dcx,26.0,word,1693912693.529155,763.0,66.99999999999993,3.1622776601683795,39.0,0.0,22
46,0905-8-dcx,26.0,word,1693912693.561314,762.0000000000001,67.0,1.0,39.0,0.0,22
47,0905-8-dcx,26.0,word,1693912693.592735,750.9999999999999,66.99999999999994,11.0,39.0,0.0,24
48,0905-8-dcx,26.0,word,1693912693.60873,737.0000000000001,67.00000000000001,14.0,39.0,0.0,23
49,0905-8-dcx,26.0,word,1693912693.6408834,726.0000000000001,66.99999999999996,11.0,39.0,0.0,23
50,0905-8-dcx,26.0,word,1693912693.6730442,718.0000000000002,66.99999999999997,8.0,39.0,0.0,19
51,0905-8-dcx,26.0,word,1693912693.7044952,711.0000000000001,68.0,7.071067811865476,39.0,0.0,18
52,0905-8-dcx,26.0,word,1693912693.736554,707.0000000000001,68.99999999999994,4.123105625617661,39.0,0.0,16
53,0905-8-dcx,26.0,word,1693912693.7689338,716.0000000000001,68.00000000000003,9.055385138137416,39.0,0.0,20
54,0905-8-dcx,26.0,word,1693912693.8009994,725.0000000000001,67.99999999999994,9.0,39.0,0.0,23
55,0905-8-dcx,26.0,word,1693912693.8331578,749.0000000000001,68.00000000000003,24.0,39.0,0.0,25
