tokens,text_unit_component,row,split,row_position,start_dist,end_dist,backward,forward,anterior_passage
【,[[0]],[0],0,passage_start,0,7,"[""<SOR>""]","[""\u52a0\u62ff\u5927\u4e0d\u5217\u98a0\u54e5\u4f26\u6bd4\u4e9a\u7701"", ""41"", ""\u5730""]","""<SOP>"""
加拿大不列颠哥伦比亚省,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",[0],0,middle,1,6,"[""<SOR>"", ""\u3010""]","[""41"", ""\u5730"", ""\u53d1\u5e03""]","""<SOP>\u3010"""
41,[[12]],[0],0,middle,2,5,"[""<SOR>"", ""\u3010"", ""\u52a0\u62ff\u5927\u4e0d\u5217\u98a0\u54e5\u4f26\u6bd4\u4e9a\u7701""]","[""\u5730"", ""\u53d1\u5e03"", ""\u7a7a\u6c14\u8d28\u91cf""]","""<SOP>\u3010\u52a0\u62ff\u5927\u4e0d\u5217\u98a0\u54e5\u4f26\u6bd4\u4e9a\u7701"""
地,[[13]],[0],0,middle,3,4,"[""\u3010"", ""\u52a0\u62ff\u5927\u4e0d\u5217\u98a0\u54e5\u4f26\u6bd4\u4e9a\u7701"", ""41""]","[""\u53d1\u5e03"", ""\u7a7a\u6c14\u8d28\u91cf"", ""\u8b66\u62a5""]","""<SOP>\u3010\u52a0\u62ff\u5927\u4e0d\u5217\u98a0\u54e5\u4f26\u6bd4\u4e9a\u770141"""
发布,"[[14, 15]]",[0],0,middle,4,3,"[""\u52a0\u62ff\u5927\u4e0d\u5217\u98a0\u54e5\u4f26\u6bd4\u4e9a\u7701"", ""41"", ""\u5730""]","[""\u7a7a\u6c14\u8d28\u91cf"", ""\u8b66\u62a5"", ""\u3011""]","""<SOP>\u3010\u52a0\u62ff\u5927\u4e0d\u5217\u98a0\u54e5\u4f26\u6bd4\u4e9a\u770141\u5730"""
空气质量,"[[16, 17, 18, 19]]",[0],0,middle,5,2,"[""41"", ""\u5730"", ""\u53d1\u5e03""]","[""\u8b66\u62a5"", ""\u3011"", ""<EOR>""]","""<SOP>\u3010\u52a0\u62ff\u5927\u4e0d\u5217\u98a0\u54e5\u4f26\u6bd4\u4e9a\u770141\u5730\u53d1\u5e03"""
警报,"[[20, 21]]",[0],0,middle,6,1,"[""\u5730"", ""\u53d1\u5e03"", ""\u7a7a\u6c14\u8d28\u91cf""]","[""\u3011"", ""<EOR>""]","""<SOP>\u3010\u52a0\u62ff\u5927\u4e0d\u5217\u98a0\u54e5\u4f26\u6bd4\u4e9a\u770141\u5730\u53d1\u5e03\u7a7a\u6c14\u8d28\u91cf"""
】,[[22]],[0],0,row_end,7,0,"[""\u53d1\u5e03"", ""\u7a7a\u6c14\u8d28\u91cf"", ""\u8b66\u62a5""]","[""<EOR>""]","""<SOP>\u3010\u52a0\u62ff\u5927\u4e0d\u5217\u98a0\u54e5\u4f26\u6bd4\u4e9a\u770141\u5730\u53d1\u5e03\u7a7a\u6c14\u8d28\u91cf\u8b66\u62a5"""
    ,"[[0, 1]]",[1],0,row_start,0,14,"[""<SOR>""]","[""\u5f53\u5730\u65f6\u95f4"", ""20\u65e5"", ""\uff0c""]","""<SOP>\u3010\u52a0\u62ff\u5927\u4e0d\u5217\u98a0\u54e5\u4f26\u6bd4\u4e9a\u770141\u5730\u53d1\u5e03\u7a7a\u6c14\u8d28\u91cf\u8b66\u62a5\u3011"""
当地时间,"[[2, 3, 4, 5]]",[1],0,middle,1,13,"[""<SOR>"", ""    ""]","[""20\u65e5"", ""\uff0c"", ""\u6839\u636e""]","""<SOP>\u3010\u52a0\u62ff\u5927\u4e0d\u5217\u98a0\u54e5\u4f26\u6bd4\u4e9a\u770141\u5730\u53d1\u5e03\u7a7a\u6c14\u8d28\u91cf\u8b66\u62a5\u3011    """
20日,"[[6, 7]]",[1],0,middle,2,12,"[""<SOR>"", ""    "", ""\u5f53\u5730\u65f6\u95f4""]","[""\uff0c"", ""\u6839\u636e"", ""\u52a0\u62ff\u5927\u73af\u5883\u90e8""]","""<SOP>\u3010\u52a0\u62ff\u5927\u4e0d\u5217\u98a0\u54e5\u4f26\u6bd4\u4e9a\u770141\u5730\u53d1\u5e03\u7a7a\u6c14\u8d28\u91cf\u8b66\u62a5\u3011    \u5f53\u5730\u65f6\u95f4"""
，,[[8]],[1],0,middle,3,11,"[""    "", ""\u5f53\u5730\u65f6\u95f4"", ""20\u65e5""]","[""\u6839\u636e"", ""\u52a0\u62ff\u5927\u73af\u5883\u90e8"", ""\u7684""]","""<SOP>\u3010\u52a0\u62ff\u5927\u4e0d\u5217\u98a0\u54e5\u4f26\u6bd4\u4e9a\u770141\u5730\u53d1\u5e03\u7a7a\u6c14\u8d28\u91cf\u8b66\u62a5\u3011    \u5f53\u5730\u65f6\u95f420\u65e5"""
根据,"[[9, 10]]",[1],0,middle,4,10,"[""\u5f53\u5730\u65f6\u95f4"", ""20\u65e5"", ""\uff0c""]","[""\u52a0\u62ff\u5927\u73af\u5883\u90e8"", ""\u7684"", ""\u516c\u544a""]","""\u5f53\u5730\u65f6\u95f420\u65e5\uff0c"""
