tokens,text_unit_component,row,split,row_position,start_dist,end_dist,backward,forward,anterior_passage
    ,"[[0, 1]]",[0],0,passage_start,0,18,"[""<SOR>""]","[""\u97e9\u56fd"", ""\u8b66\u65b9"", ""18\u65e5""]","""<SOP>"""
韩国,"[[2, 3]]",[0],0,middle,1,17,"[""<SOR>"", ""    ""]","[""\u8b66\u65b9"", ""18\u65e5"", ""\u8bf4""]","""<SOP>    """
警方,"[[4, 5]]",[0],0,middle,2,16,"[""<SOR>"", ""    "", ""\u97e9\u56fd""]","[""18\u65e5"", ""\u8bf4"", ""\uff0c""]","""<SOP>    \u97e9\u56fd"""
18日,"[[6, 7]]",[0],0,middle,3,15,"[""    "", ""\u97e9\u56fd"", ""\u8b66\u65b9""]","[""\u8bf4"", ""\uff0c"", ""\u8fd1\u671f""]","""<SOP>    \u97e9\u56fd\u8b66\u65b9"""
说,[[8]],[0],0,middle,4,14,"[""\u97e9\u56fd"", ""\u8b66\u65b9"", ""18\u65e5""]","[""\uff0c"", ""\u8fd1\u671f"", ""\u53d1\u751f""]","""<SOP>    \u97e9\u56fd\u8b66\u65b918\u65e5"""
，,[[9]],[0],0,middle,5,13,"[""\u8b66\u65b9"", ""18\u65e5"", ""\u8bf4""]","[""\u8fd1\u671f"", ""\u53d1\u751f"", ""\u591a""]","""<SOP>    \u97e9\u56fd\u8b66\u65b918\u65e5\u8bf4"""
近期,"[[10, 11]]",[0],0,middle,6,12,"[""18\u65e5"", ""\u8bf4"", ""\uff0c""]","[""\u53d1\u751f"", ""\u591a"", ""\u8d77""]","""\u97e9\u56fd\u8b66\u65b918\u65e5\u8bf4\uff0c"""
发生,"[[12, 13]]",[0],0,middle,7,11,"[""\u8bf4"", ""\uff0c"", ""\u8fd1\u671f""]","[""\u591a"", ""\u8d77"", ""\u6301""]","""\u97e9\u56fd\u8b66\u65b918\u65e5\u8bf4\uff0c\u8fd1\u671f"""
多,[[14]],[0],0,middle,8,10,"[""\uff0c"", ""\u8fd1\u671f"", ""\u53d1\u751f""]","[""\u8d77"", ""\u6301"", ""\u51f6\u5668""]","""\u97e9\u56fd\u8b66\u65b918\u65e5\u8bf4\uff0c\u8fd1\u671f\u53d1\u751f"""
起,[[15]],[0],0,middle,9,9,"[""\u8fd1\u671f"", ""\u53d1\u751f"", ""\u591a""]","[""\u6301"", ""\u51f6\u5668"", ""\u4f24\u4eba""]","""\u97e9\u56fd\u8b66\u65b918\u65e5\u8bf4\uff0c\u8fd1\u671f\u53d1\u751f\u591a"""
持,[[16]],[0],0,middle,10,8,"[""\u53d1\u751f"", ""\u591a"", ""\u8d77""]","[""\u51f6\u5668"", ""\u4f24\u4eba"", ""\u6848\u4ef6""]","""\u97e9\u56fd\u8b66\u65b918\u65e5\u8bf4\uff0c\u8fd1\u671f\u53d1\u751f\u591a\u8d77"""
凶器,"[[17, 18]]",[0],0,middle,11,7,"[""\u591a"", ""\u8d77"", ""\u6301""]","[""\u4f24\u4eba"", ""\u6848\u4ef6"", ""\u540e""]","""\u97e9\u56fd\u8b66\u65b918\u65e5\u8bf4\uff0c\u8fd1\u671f\u53d1\u751f\u591a\u8d77\u6301"""
伤人,"[[19, 20]]",[0],0,middle,12,6,"[""\u8d77"", ""\u6301"", ""\u51f6\u5668""]","[""\u6848\u4ef6"", ""\u540e"", ""\uff0c""]","""\u97e9\u56fd\u8b66\u65b918\u65e5\u8bf4\uff0c\u8fd1\u671f\u53d1\u751f\u591a\u8d77\u6301\u51f6\u5668"""
案件,"[[21, 22]]",[0],0,middle,13,5,"[""\u6301"", ""\u51f6\u5668"", ""\u4f24\u4eba""]","[""\u540e"", ""\uff0c"", ""\u8b66\u65b9""]","""\u97e9\u56fd\u8b66\u65b918\u65e5\u8bf4\uff0c\u8fd1\u671f\u53d1\u751f\u591a\u8d77\u6301\u51f6\u5668\u4f24\u4eba"""
后,[[23]],[0],0,middle,14,4,"[""\u51f6\u5668"", ""\u4f24\u4eba"", ""\u6848\u4ef6""]","[""\uff0c"", ""\u8b66\u65b9"", ""\u5df2""]","""\u97e9\u56fd\u8b66\u65b918\u65e5\u8bf4\uff0c\u8fd1\u671f\u53d1\u751f\u591a\u8d77\u6301\u51f6\u5668\u4f24\u4eba\u6848\u4ef6"""
，,[[24]],[0],0,middle,15,3,"[""\u4f24\u4eba"", ""\u6848\u4ef6"", ""\u540e""]","[""\u8b66\u65b9"", ""\u5df2"", ""\u6293\u83b7""]","""\u97e9\u56fd\u8b66\u65b918\u65e5\u8bf4\uff0c\u8fd1\u671f\u53d1\u751f\u591a\u8d77\u6301\u51f6\u5668\u4f24\u4eba\u6848\u4ef6\u540e"""
