tokens,text_unit_component,row,split,row_position,start_dist,end_dist,backward,forward,anterior_passage
的,[[2]],[5],0,middle,2,15,"[""<SOR>"", ""\u5728"", ""\u4ed6""]","[""\u5f15\u5bfc"", ""\u4e0b"", ""\uff0c""]","""\u5f15\u5bfc\u4ed6\u4eec\u7d27\u6025\u758f\u6563\u3002\u5728\u4ed6"""
引导,"[[3, 4]]",[5],0,middle,3,14,"[""\u5728"", ""\u4ed6"", ""\u7684""]","[""\u4e0b"", ""\uff0c"", ""\u5c45\u6c11\u4eec""]","""\u5f15\u5bfc\u4ed6\u4eec\u7d27\u6025\u758f\u6563\u3002\u5728\u4ed6\u7684"""
下,[[5]],[5],0,middle,4,13,"[""\u4ed6"", ""\u7684"", ""\u5f15\u5bfc""]","[""\uff0c"", ""\u5c45\u6c11\u4eec"", ""\u7eb7\u7eb7""]","""\u5f15\u5bfc\u4ed6\u4eec\u7d27\u6025\u758f\u6563\u3002\u5728\u4ed6\u7684\u5f15\u5bfc"""
，,[[6]],[5],0,middle,5,12,"[""\u7684"", ""\u5f15\u5bfc"", ""\u4e0b""]","[""\u5c45\u6c11\u4eec"", ""\u7eb7\u7eb7"", ""\u9003\u79bb""]","""\u5f15\u5bfc\u4ed6\u4eec\u7d27\u6025\u758f\u6563\u3002\u5728\u4ed6\u7684\u5f15\u5bfc\u4e0b"""
居民们,"[[7, 8, 9]]",[5],0,middle,6,11,"[""\u5f15\u5bfc"", ""\u4e0b"", ""\uff0c""]","[""\u7eb7\u7eb7"", ""\u9003\u79bb"", ""\u4e86""]","""\u5728\u4ed6\u7684\u5f15\u5bfc\u4e0b\uff0c"""
纷纷,"[[10, 11]]",[5],0,middle,7,10,"[""\u4e0b"", ""\uff0c"", ""\u5c45\u6c11\u4eec""]","[""\u9003\u79bb"", ""\u4e86"", ""\u706b\u573a""]","""\u5728\u4ed6\u7684\u5f15\u5bfc\u4e0b\uff0c\u5c45\u6c11\u4eec"""
逃离,"[[12, 13]]",[5],0,middle,8,9,"[""\uff0c"", ""\u5c45\u6c11\u4eec"", ""\u7eb7\u7eb7""]","[""\u4e86"", ""\u706b\u573a"", ""\uff0c""]","""\u5728\u4ed6\u7684\u5f15\u5bfc\u4e0b\uff0c\u5c45\u6c11\u4eec\u7eb7\u7eb7"""
了,[[14]],[5],0,middle,9,8,"[""\u5c45\u6c11\u4eec"", ""\u7eb7\u7eb7"", ""\u9003\u79bb""]","[""\u706b\u573a"", ""\uff0c"", ""\u6ca1\u6709""]","""\u5728\u4ed6\u7684\u5f15\u5bfc\u4e0b\uff0c\u5c45\u6c11\u4eec\u7eb7\u7eb7\u9003\u79bb"""
火场,"[[15, 16]]",[5],0,middle,10,7,"[""\u7eb7\u7eb7"", ""\u9003\u79bb"", ""\u4e86""]","[""\uff0c"", ""\u6ca1\u6709"", ""\u9020\u6210""]","""\u5728\u4ed6\u7684\u5f15\u5bfc\u4e0b\uff0c\u5c45\u6c11\u4eec\u7eb7\u7eb7\u9003\u79bb\u4e86"""
，,[[17]],[5],0,middle,11,6,"[""\u9003\u79bb"", ""\u4e86"", ""\u706b\u573a""]","[""\u6ca1\u6709"", ""\u9020\u6210"", ""\u4efb\u4f55""]","""\u5728\u4ed6\u7684\u5f15\u5bfc\u4e0b\uff0c\u5c45\u6c11\u4eec\u7eb7\u7eb7\u9003\u79bb\u4e86\u706b\u573a"""
没有,"[[18, 19]]",[5],0,middle,12,5,"[""\u4e86"", ""\u706b\u573a"", ""\uff0c""]","[""\u9020\u6210"", ""\u4efb\u4f55"", ""\u4eba\u5458""]","""\u5c45\u6c11\u4eec\u7eb7\u7eb7\u9003\u79bb\u4e86\u706b\u573a\uff0c"""
造成,"[[20, 21]]",[5],0,middle,13,4,"[""\u706b\u573a"", ""\uff0c"", ""\u6ca1\u6709""]","[""\u4efb\u4f55"", ""\u4eba\u5458"", ""\u4f24\u4ea1""]","""\u5c45\u6c11\u4eec\u7eb7\u7eb7\u9003\u79bb\u4e86\u706b\u573a\uff0c\u6ca1\u6709"""
任何,"[[22, 23]]",[5],0,middle,14,3,"[""\uff0c"", ""\u6ca1\u6709"", ""\u9020\u6210""]","[""\u4eba\u5458"", ""\u4f24\u4ea1"", ""\u3002""]","""\u5c45\u6c11\u4eec\u7eb7\u7eb7\u9003\u79bb\u4e86\u706b\u573a\uff0c\u6ca1\u6709\u9020\u6210"""
人员,"[[24, 25]]",[5],0,middle,15,2,"[""\u6ca1\u6709"", ""\u9020\u6210"", ""\u4efb\u4f55""]","[""\u4f24\u4ea1"", ""<EOR>""]","""\u5c45\u6c11\u4eec\u7eb7\u7eb7\u9003\u79bb\u4e86\u706b\u573a\uff0c\u6ca1\u6709\u9020\u6210\u4efb\u4f55"""
伤亡,"[[26, 27]]",[5],0,middle,16,1,"[""\u9020\u6210"", ""\u4efb\u4f55"", ""\u4eba\u5458""]","[""<EOR>""]","""\u5c45\u6c11\u4eec\u7eb7\u7eb7\u9003\u79bb\u4e86\u706b\u573a\uff0c\u6ca1\u6709\u9020\u6210\u4efb\u4f55\u4eba\u5458"""
。,[[28]],[5],0,passage_end,17,0,"[""\u4efb\u4f55"", ""\u4eba\u5458"", ""\u4f24\u4ea1""]","[""<EOR>""]","""\u5c45\u6c11\u4eec\u7eb7\u7eb7\u9003\u79bb\u4e86\u706b\u573a\uff0c\u6ca1\u6709\u9020\u6210\u4efb\u4f55\u4eba\u5458\u4f24\u4ea1"""
