tokens,text_unit_component,row,split,row_position,start_dist,end_dist,backward,forward,anterior_passage
《,[[0]],[0],0,passage_start,0,3,"[""<SOR>""]","[""\u5c01\u795e"", ""\u300b"", ""\u7b80\u4ecb""]","""<SOP>"""
封神,"[[1, 2]]",[0],0,middle,1,2,"[""<SOR>"", ""\u300a""]","[""\u300b"", ""\u7b80\u4ecb"", ""<EOR>""]","""<SOP>\u300a"""
》,[[3]],[0],0,middle,2,1,"[""<SOR>"", ""\u300a"", ""\u5c01\u795e""]","[""\u7b80\u4ecb"", ""<EOR>""]","""<SOP>\u300a\u5c01\u795e"""
简介,"[[4, 5]]",[0],0,row_end,3,0,"[""\u300a"", ""\u5c01\u795e"", ""\u300b""]","[""<EOR>""]","""<SOP>\u300a\u5c01\u795e\u300b"""
    ,"[[0, 1]]",[1],0,row_start,0,17,"[""<SOR>""]","[""\u4e2d\u56fd"", ""\u56fd\u6c11"", ""\u795e\u8bdd""]","""<SOP>\u300a\u5c01\u795e\u300b\u7b80\u4ecb"""
中国,"[[2, 3]]",[1],0,middle,1,16,"[""<SOR>"", ""    ""]","[""\u56fd\u6c11"", ""\u795e\u8bdd"", ""\u53f2\u8bd7""]","""<SOP>\u300a\u5c01\u795e\u300b\u7b80\u4ecb    """
国民,"[[4, 5]]",[1],0,middle,2,15,"[""<SOR>"", ""    "", ""\u4e2d\u56fd""]","[""\u795e\u8bdd"", ""\u53f2\u8bd7"", ""\u5927\u7247""]","""<SOP>\u300a\u5c01\u795e\u300b\u7b80\u4ecb    \u4e2d\u56fd"""
神话,"[[6, 7]]",[1],0,middle,3,14,"[""    "", ""\u4e2d\u56fd"", ""\u56fd\u6c11""]","[""\u53f2\u8bd7"", ""\u5927\u7247"", ""\uff0c""]","""<SOP>\u300a\u5c01\u795e\u300b\u7b80\u4ecb    \u4e2d\u56fd\u56fd\u6c11"""
史诗,"[[8, 9]]",[1],0,middle,4,13,"[""\u4e2d\u56fd"", ""\u56fd\u6c11"", ""\u795e\u8bdd""]","[""\u5927\u7247"", ""\uff0c"", ""\u9707\u64bc""]","""<SOP>\u300a\u5c01\u795e\u300b\u7b80\u4ecb    \u4e2d\u56fd\u56fd\u6c11\u795e\u8bdd"""
大片,"[[10, 11]]",[1],0,middle,5,12,"[""\u56fd\u6c11"", ""\u795e\u8bdd"", ""\u53f2\u8bd7""]","[""\uff0c"", ""\u9707\u64bc"", ""\u89c6\u6548""]","""<SOP>\u300a\u5c01\u795e\u300b\u7b80\u4ecb    \u4e2d\u56fd\u56fd\u6c11\u795e\u8bdd\u53f2\u8bd7"""
，,[[12]],[1],0,middle,6,11,"[""\u795e\u8bdd"", ""\u53f2\u8bd7"", ""\u5927\u7247""]","[""\u9707\u64bc"", ""\u89c6\u6548"", ""\u71c3\u70b8""]","""<SOP>\u300a\u5c01\u795e\u300b\u7b80\u4ecb    \u4e2d\u56fd\u56fd\u6c11\u795e\u8bdd\u53f2\u8bd7\u5927\u7247"""
震撼,"[[13, 14]]",[1],0,middle,7,10,"[""\u53f2\u8bd7"", ""\u5927\u7247"", ""\uff0c""]","[""\u89c6\u6548"", ""\u71c3\u70b8"", ""\u6691\u671f""]","""\u4e2d\u56fd\u56fd\u6c11\u795e\u8bdd\u53f2\u8bd7\u5927\u7247\uff0c"""
视效,"[[15, 16]]",[1],0,middle,8,9,"[""\u5927\u7247"", ""\uff0c"", ""\u9707\u64bc""]","[""\u71c3\u70b8"", ""\u6691\u671f"", ""\uff01""]","""\u4e2d\u56fd\u56fd\u6c11\u795e\u8bdd\u53f2\u8bd7\u5927\u7247\uff0c\u9707\u64bc"""
燃炸,"[[17, 18]]",[1],0,middle,9,8,"[""\uff0c"", ""\u9707\u64bc"", ""\u89c6\u6548""]","[""\u6691\u671f"", ""\uff01"", ""\u300a""]","""\u4e2d\u56fd\u56fd\u6c11\u795e\u8bdd\u53f2\u8bd7\u5927\u7247\uff0c\u9707\u64bc\u89c6\u6548"""
暑期,"[[19, 20]]",[1],0,middle,10,7,"[""\u9707\u64bc"", ""\u89c6\u6548"", ""\u71c3\u70b8""]","[""\uff01"", ""\u300a"", ""\u5c01\u795e""]","""\u4e2d\u56fd\u56fd\u6c11\u795e\u8bdd\u53f2\u8bd7\u5927\u7247\uff0c\u9707\u64bc\u89c6\u6548\u71c3\u70b8"""
！,[[21]],[1],0,middle,11,6,"[""\u89c6\u6548"", ""\u71c3\u70b8"", ""\u6691\u671f""]","[""\u300a"", ""\u5c01\u795e"", ""\u7b2c\u4e00""]","""\u4e2d\u56fd\u56fd\u6c11\u795e\u8bdd\u53f2\u8bd7\u5927\u7247\uff0c\u9707\u64bc\u89c6\u6548\u71c3\u70b8\u6691\u671f"""
《,[[22]],[1],0,middle,12,5,"[""\u71c3\u70b8"", ""\u6691\u671f"", ""\uff01""]","[""\u5c01\u795e"", ""\u7b2c\u4e00"", ""\u90e8""]","""\u9707\u64bc\u89c6\u6548\u71c3\u70b8\u6691\u671f\uff01"""
封神,"[[23, 24]]",[1],0,middle,13,4,"[""\u6691\u671f"", ""\uff01"", ""\u300a""]","[""\u7b2c\u4e00"", ""\u90e8"", ""\u300b""]","""\u9707\u64bc\u89c6\u6548\u71c3\u70b8\u6691\u671f\uff01\u300a"""
第一,"[[25, 26]]",[1],0,middle,14,3,"[""\uff01"", ""\u300a"", ""\u5c01\u795e""]","[""\u90e8"", ""\u300b"", ""\u8bb2""]","""\u9707\u64bc\u89c6\u6548\u71c3\u70b8\u6691\u671f\uff01\u300a\u5c01\u795e"""
部,[[27]],[1],0,middle,15,2,"[""\u300a"", ""\u5c01\u795e"", ""\u7b2c\u4e00""]","[""\u300b"", ""\u8bb2"", ""<EOR>""]","""\u9707\u64bc\u89c6\u6548\u71c3\u70b8\u6691\u671f\uff01\u300a\u5c01\u795e\u7b2c\u4e00"""
》,[[28]],[1],0,middle,16,1,"[""\u5c01\u795e"", ""\u7b2c\u4e00"", ""\u90e8""]","[""\u8bb2"", ""<EOR>""]","""\u9707\u64bc\u89c6\u6548\u71c3\u70b8\u6691\u671f\uff01\u300a\u5c01\u795e\u7b2c\u4e00\u90e8"""
讲,[[29]],[1],1,row_end,17,0,"[""\u7b2c\u4e00"", ""\u90e8"", ""\u300b""]","[""<EOR>""]","""\u9707\u64bc\u89c6\u6548\u71c3\u70b8\u6691\u671f\uff01\u300a\u5c01\u795e\u7b2c\u4e00\u90e8\u300b"""
(讲)述,[[0]],[2],1,row_start,0,16,"[""<SOR>""]","[""\u5546"", ""\u738b"", ""\u6bb7\u5bff""]","""\u9707\u64bc\u89c6\u6548\u71c3\u70b8\u6691\u671f\uff01\u300a\u5c01\u795e\u7b2c\u4e00\u90e8\u300b\u8bb2"""
商,[[1]],[2],0,middle,1,15,"[""<SOR>"", ""(\u8bb2)\u8ff0""]","[""\u738b"", ""\u6bb7\u5bff"", ""\u52fe\u7ed3""]","""\u9707\u64bc\u89c6\u6548\u71c3\u70b8\u6691\u671f\uff01\u300a\u5c01\u795e\u7b2c\u4e00\u90e8\u300b\u8bb2(\u8bb2)\u8ff0"""
王,[[2]],[2],0,middle,2,14,"[""<SOR>"", ""(\u8bb2)\u8ff0"", ""\u5546""]","[""\u6bb7\u5bff"", ""\u52fe\u7ed3"", ""\u72d0\u5996""]","""\u9707\u64bc\u89c6\u6548\u71c3\u70b8\u6691\u671f\uff01\u300a\u5c01\u795e\u7b2c\u4e00\u90e8\u300b\u8bb2(\u8bb2)\u8ff0\u5546"""
殷寿,"[[3, 4]]",[2],0,middle,3,13,"[""(\u8bb2)\u8ff0"", ""\u5546"", ""\u738b""]","[""\u52fe\u7ed3"", ""\u72d0\u5996"", ""\u59d0\u5df1""]","""\u9707\u64bc\u89c6\u6548\u71c3\u70b8\u6691\u671f\uff01\u300a\u5c01\u795e\u7b2c\u4e00\u90e8\u300b\u8bb2(\u8bb2)\u8ff0\u5546\u738b"""
勾结,"[[5, 6]]",[2],0,middle,4,12,"[""\u5546"", ""\u738b"", ""\u6bb7\u5bff""]","[""\u72d0\u5996"", ""\u59d0\u5df1"", ""\uff0c""]","""\u9707\u64bc\u89c6\u6548\u71c3\u70b8\u6691\u671f\uff01\u300a\u5c01\u795e\u7b2c\u4e00\u90e8\u300b\u8bb2(\u8bb2)\u8ff0\u5546\u738b\u6bb7\u5bff"""
狐妖,"[[7, 8]]",[2],0,middle,5,11,"[""\u738b"", ""\u6bb7\u5bff"", ""\u52fe\u7ed3""]","[""\u59d0\u5df1"", ""\uff0c"", ""\u66b4\u8650\u65e0\u9053""]","""\u9707\u64bc\u89c6\u6548\u71c3\u70b8\u6691\u671f\uff01\u300a\u5c01\u795e\u7b2c\u4e00\u90e8\u300b\u8bb2(\u8bb2)\u8ff0\u5546\u738b\u6bb7\u5bff\u52fe\u7ed3"""
姐己,"[[9, 10]]",[2],0,middle,6,10,"[""\u6bb7\u5bff"", ""\u52fe\u7ed3"", ""\u72d0\u5996""]","[""\uff0c"", ""\u66b4\u8650\u65e0\u9053"", ""\uff0c""]","""\u9707\u64bc\u89c6\u6548\u71c3\u70b8\u6691\u671f\uff01\u300a\u5c01\u795e\u7b2c\u4e00\u90e8\u300b\u8bb2(\u8bb2)\u8ff0\u5546\u738b\u6bb7\u5bff\u52fe\u7ed3\u72d0\u5996"""
，,[[11]],[2],0,middle,7,9,"[""\u52fe\u7ed3"", ""\u72d0\u5996"", ""\u59d0\u5df1""]","[""\u66b4\u8650\u65e0\u9053"", ""\uff0c"", ""\u5f15\u53d1""]","""\u9707\u64bc\u89c6\u6548\u71c3\u70b8\u6691\u671f\uff01\u300a\u5c01\u795e\u7b2c\u4e00\u90e8\u300b\u8bb2(\u8bb2)\u8ff0\u5546\u738b\u6bb7\u5bff\u52fe\u7ed3\u72d0\u5996\u59d0\u5df1"""
暴虐无道,"[[12, 13, 14, 15]]",[2],0,middle,8,8,"[""\u72d0\u5996"", ""\u59d0\u5df1"", ""\uff0c""]","[""\uff0c"", ""\u5f15\u53d1"", ""\u5929\u8c34""]","""\u300a\u5c01\u795e\u7b2c\u4e00\u90e8\u300b\u8bb2(\u8bb2)\u8ff0\u5546\u738b\u6bb7\u5bff\u52fe\u7ed3\u72d0\u5996\u59d0\u5df1\uff0c"""
，,[[16]],[2],0,middle,9,7,"[""\u59d0\u5df1"", ""\uff0c"", ""\u66b4\u8650\u65e0\u9053""]","[""\u5f15\u53d1"", ""\u5929\u8c34"", ""\u3002""]","""\u300a\u5c01\u795e\u7b2c\u4e00\u90e8\u300b\u8bb2(\u8bb2)\u8ff0\u5546\u738b\u6bb7\u5bff\u52fe\u7ed3\u72d0\u5996\u59d0\u5df1\uff0c\u66b4\u8650\u65e0\u9053"""
引发,"[[17, 18]]",[2],0,middle,10,6,"[""\uff0c"", ""\u66b4\u8650\u65e0\u9053"", ""\uff0c""]","[""\u5929\u8c34"", ""\u3002"", ""\u6606\u4ed1""]","""\u66b4\u8650\u65e0\u9053\uff0c"""
天谴,"[[19, 20]]",[2],0,middle,11,5,"[""\u66b4\u8650\u65e0\u9053"", ""\uff0c"", ""\u5f15\u53d1""]","[""\u3002"", ""\u6606\u4ed1"", ""\u4ed9\u4eba""]","""\u66b4\u8650\u65e0\u9053\uff0c\u5f15\u53d1"""
。,[[21]],[2],0,middle,12,4,"[""\uff0c"", ""\u5f15\u53d1"", ""\u5929\u8c34""]","[""\u6606\u4ed1"", ""\u4ed9\u4eba"", ""\u59dc\u5b50\u7259""]","""\u66b4\u8650\u65e0\u9053\uff0c\u5f15\u53d1\u5929\u8c34"""
昆仑,"[[22, 23]]",[2],0,middle,13,3,"[""\u5f15\u53d1"", ""\u5929\u8c34"", ""\u3002""]","[""\u4ed9\u4eba"", ""\u59dc\u5b50\u7259"", ""\u643a""]","""\u5f15\u53d1\u5929\u8c34\u3002"""
