tokens,text_unit_component,row,split,row_position,start_dist,end_dist,backward,forward,anterior_passage
【,[[0]],[0],0,passage_start,0,17,"[""<SOR>""]","[""\u4fc4"", ""\u4e4c"", ""\u51b2\u7a81""]","""<SOP>"""
俄,[[1]],[0],0,middle,1,16,"[""<SOR>"", ""\u3010""]","[""\u4e4c"", ""\u51b2\u7a81"", ""\u7206\u53d1""]","""<SOP>\u3010"""
乌,[[2]],[0],0,middle,2,15,"[""<SOR>"", ""\u3010"", ""\u4fc4""]","[""\u51b2\u7a81"", ""\u7206\u53d1"", ""\u4ee5\u6765""]","""<SOP>\u3010\u4fc4"""
冲突,"[[3, 4]]",[0],0,middle,3,14,"[""\u3010"", ""\u4fc4"", ""\u4e4c""]","[""\u7206\u53d1"", ""\u4ee5\u6765"", ""\uff0c""]","""<SOP>\u3010\u4fc4\u4e4c"""
爆发,"[[5, 6]]",[0],0,middle,4,13,"[""\u4fc4"", ""\u4e4c"", ""\u51b2\u7a81""]","[""\u4ee5\u6765"", ""\uff0c"", ""\u6b27\u6d32""]","""<SOP>\u3010\u4fc4\u4e4c\u51b2\u7a81"""
以来,"[[7, 8]]",[0],0,middle,5,12,"[""\u4e4c"", ""\u51b2\u7a81"", ""\u7206\u53d1""]","[""\uff0c"", ""\u6b27\u6d32"", ""\u8ffd\u968f""]","""<SOP>\u3010\u4fc4\u4e4c\u51b2\u7a81\u7206\u53d1"""
，,[[9]],[0],0,middle,6,11,"[""\u51b2\u7a81"", ""\u7206\u53d1"", ""\u4ee5\u6765""]","[""\u6b27\u6d32"", ""\u8ffd\u968f"", ""\u7f8e\u56fd""]","""<SOP>\u3010\u4fc4\u4e4c\u51b2\u7a81\u7206\u53d1\u4ee5\u6765"""
欧洲,"[[10, 11]]",[0],0,middle,7,10,"[""\u7206\u53d1"", ""\u4ee5\u6765"", ""\uff0c""]","[""\u8ffd\u968f"", ""\u7f8e\u56fd"", ""\u5bf9""]","""<SOP>\u3010\u4fc4\u4e4c\u51b2\u7a81\u7206\u53d1\u4ee5\u6765\uff0c"""
追随,"[[12, 13]]",[0],0,middle,8,9,"[""\u4ee5\u6765"", ""\uff0c"", ""\u6b27\u6d32""]","[""\u7f8e\u56fd"", ""\u5bf9"", ""\u4fc4""]","""<SOP>\u3010\u4fc4\u4e4c\u51b2\u7a81\u7206\u53d1\u4ee5\u6765\uff0c\u6b27\u6d32"""
美国,"[[14, 15]]",[0],0,middle,9,8,"[""\uff0c"", ""\u6b27\u6d32"", ""\u8ffd\u968f""]","[""\u5bf9"", ""\u4fc4"", ""\u5b9e\u65bd""]","""<SOP>\u3010\u4fc4\u4e4c\u51b2\u7a81\u7206\u53d1\u4ee5\u6765\uff0c\u6b27\u6d32\u8ffd\u968f"""
对,[[16]],[0],0,middle,10,7,"[""\u6b27\u6d32"", ""\u8ffd\u968f"", ""\u7f8e\u56fd""]","[""\u4fc4"", ""\u5b9e\u65bd"", ""\u591a""]","""<SOP>\u3010\u4fc4\u4e4c\u51b2\u7a81\u7206\u53d1\u4ee5\u6765\uff0c\u6b27\u6d32\u8ffd\u968f\u7f8e\u56fd"""
俄,[[17]],[0],0,middle,11,6,"[""\u8ffd\u968f"", ""\u7f8e\u56fd"", ""\u5bf9""]","[""\u5b9e\u65bd"", ""\u591a"", ""\u8f6e""]","""<SOP>\u3010\u4fc4\u4e4c\u51b2\u7a81\u7206\u53d1\u4ee5\u6765\uff0c\u6b27\u6d32\u8ffd\u968f\u7f8e\u56fd\u5bf9"""
实施,"[[18, 19]]",[0],0,middle,12,5,"[""\u7f8e\u56fd"", ""\u5bf9"", ""\u4fc4""]","[""\u591a"", ""\u8f6e"", ""\u4e25\u5389""]","""<SOP>\u3010\u4fc4\u4e4c\u51b2\u7a81\u7206\u53d1\u4ee5\u6765\uff0c\u6b27\u6d32\u8ffd\u968f\u7f8e\u56fd\u5bf9\u4fc4"""
多,[[20]],[0],0,middle,13,4,"[""\u5bf9"", ""\u4fc4"", ""\u5b9e\u65bd""]","[""\u8f6e"", ""\u4e25\u5389"", ""\u5236\u88c1""]","""<SOP>\u3010\u4fc4\u4e4c\u51b2\u7a81\u7206\u53d1\u4ee5\u6765\uff0c\u6b27\u6d32\u8ffd\u968f\u7f8e\u56fd\u5bf9\u4fc4\u5b9e\u65bd"""
轮,[[21]],[0],0,middle,14,3,"[""\u4fc4"", ""\u5b9e\u65bd"", ""\u591a""]","[""\u4e25\u5389"", ""\u5236\u88c1"", ""\u3011""]","""<SOP>\u3010\u4fc4\u4e4c\u51b2\u7a81\u7206\u53d1\u4ee5\u6765\uff0c\u6b27\u6d32\u8ffd\u968f\u7f8e\u56fd\u5bf9\u4fc4\u5b9e\u65bd\u591a"""
严厉,"[[22, 23]]",[0],0,middle,15,2,"[""\u5b9e\u65bd"", ""\u591a"", ""\u8f6e""]","[""\u5236\u88c1"", ""\u3011"", ""<EOR>""]","""<SOP>\u3010\u4fc4\u4e4c\u51b2\u7a81\u7206\u53d1\u4ee5\u6765\uff0c\u6b27\u6d32\u8ffd\u968f\u7f8e\u56fd\u5bf9\u4fc4\u5b9e\u65bd\u591a\u8f6e"""
制裁,"[[24, 25]]",[0],0,middle,16,1,"[""\u591a"", ""\u8f6e"", ""\u4e25\u5389""]","[""\u3011"", ""<EOR>""]","""<SOP>\u3010\u4fc4\u4e4c\u51b2\u7a81\u7206\u53d1\u4ee5\u6765\uff0c\u6b27\u6d32\u8ffd\u968f\u7f8e\u56fd\u5bf9\u4fc4\u5b9e\u65bd\u591a\u8f6e\u4e25\u5389"""
】,[[26]],[0],0,row_end,17,0,"[""\u8f6e"", ""\u4e25\u5389"", ""\u5236\u88c1""]","[""<EOR>""]","""<SOP>\u3010\u4fc4\u4e4c\u51b2\u7a81\u7206\u53d1\u4ee5\u6765\uff0c\u6b27\u6d32\u8ffd\u968f\u7f8e\u56fd\u5bf9\u4fc4\u5b9e\u65bd\u591a\u8f6e\u4e25\u5389\u5236\u88c1"""
    ,"[[0, 1]]",[1],0,row_start,0,19,"[""<SOR>""]","[""\u8fd1\u65e5"", ""\uff0c"", ""\u591a""]","""<SOP>\u3010\u4fc4\u4e4c\u51b2\u7a81\u7206\u53d1\u4ee5\u6765\uff0c\u6b27\u6d32\u8ffd\u968f\u7f8e\u56fd\u5bf9\u4fc4\u5b9e\u65bd\u591a\u8f6e\u4e25\u5389\u5236\u88c1\u3011"""
近日,"[[2, 3]]",[1],0,middle,1,18,"[""<SOR>"", ""    ""]","[""\uff0c"", ""\u591a"", ""\u5bb6""]","""\u6b27\u6d32\u8ffd\u968f\u7f8e\u56fd\u5bf9\u4fc4\u5b9e\u65bd\u591a\u8f6e\u4e25\u5389\u5236\u88c1\u3011    """
，,[[4]],[1],0,middle,2,17,"[""<SOR>"", ""    "", ""\u8fd1\u65e5""]","[""\u591a"", ""\u5bb6"", ""\u5916\u5a92""]","""\u6b27\u6d32\u8ffd\u968f\u7f8e\u56fd\u5bf9\u4fc4\u5b9e\u65bd\u591a\u8f6e\u4e25\u5389\u5236\u88c1\u3011    \u8fd1\u65e5"""
多,[[5]],[1],0,middle,3,16,"[""    "", ""\u8fd1\u65e5"", ""\uff0c""]","[""\u5bb6"", ""\u5916\u5a92"", ""\u62a5\u9053""]","""\u8fd1\u65e5\uff0c"""
家,[[6]],[1],0,middle,4,15,"[""\u8fd1\u65e5"", ""\uff0c"", ""\u591a""]","[""\u5916\u5a92"", ""\u62a5\u9053"", ""\u79f0""]","""\u8fd1\u65e5\uff0c\u591a"""
外媒,"[[7, 8]]",[1],0,middle,5,14,"[""\uff0c"", ""\u591a"", ""\u5bb6""]","[""\u62a5\u9053"", ""\u79f0"", ""\uff0c""]","""\u8fd1\u65e5\uff0c\u591a\u5bb6"""
