tokens,text_unit_component,row,split,row_position,start_dist,end_dist,backward,forward,anterior_passage
    ,"[[0, 1]]",[0],0,passage_start,0,14,"[""<SOR>""]","[""\u5f53\u5730"", ""\u65f6\u95f4"", ""8\u6708""]","""<SOP>"""
当地,"[[2, 3]]",[0],0,middle,1,13,"[""<SOR>"", ""    ""]","[""\u65f6\u95f4"", ""8\u6708"", ""21\u65e5""]","""<SOP>    """
时间,"[[4, 5]]",[0],0,middle,2,12,"[""<SOR>"", ""    "", ""\u5f53\u5730""]","[""8\u6708"", ""21\u65e5"", ""\uff0c""]","""<SOP>    \u5f53\u5730"""
8月,"[[6, 7]]",[0],0,middle,3,11,"[""    "", ""\u5f53\u5730"", ""\u65f6\u95f4""]","[""21\u65e5"", ""\uff0c"", ""\u6cd5\u5b98""]","""<SOP>    \u5f53\u5730\u65f6\u95f4"""
21日,"[[8, 9]]",[0],0,middle,4,10,"[""\u5f53\u5730"", ""\u65f6\u95f4"", ""8\u6708""]","[""\uff0c"", ""\u6cd5\u5b98"", ""\u5bf9""]","""<SOP>    \u5f53\u5730\u65f6\u95f48\u6708"""
，,[[10]],[0],0,middle,5,9,"[""\u65f6\u95f4"", ""8\u6708"", ""21\u65e5""]","[""\u6cd5\u5b98"", ""\u5bf9"", ""\u82f1\u56fd""]","""<SOP>    \u5f53\u5730\u65f6\u95f48\u670821\u65e5"""
法官,"[[11, 12]]",[0],0,middle,6,8,"[""8\u6708"", ""21\u65e5"", ""\uff0c""]","[""\u5bf9"", ""\u82f1\u56fd"", ""\u62a4\u58eb""]","""\u5f53\u5730\u65f6\u95f48\u670821\u65e5\uff0c"""
对,[[13]],[0],0,middle,7,7,"[""21\u65e5"", ""\uff0c"", ""\u6cd5\u5b98""]","[""\u82f1\u56fd"", ""\u62a4\u58eb"", ""\u9732\u897f\u00b7\u83b1\u7279\u6bd4""]","""\u5f53\u5730\u65f6\u95f48\u670821\u65e5\uff0c\u6cd5\u5b98"""
英国,"[[14, 15]]",[0],0,middle,8,6,"[""\uff0c"", ""\u6cd5\u5b98"", ""\u5bf9""]","[""\u62a4\u58eb"", ""\u9732\u897f\u00b7\u83b1\u7279\u6bd4"", ""\u8c0b\u6740""]","""\u5f53\u5730\u65f6\u95f48\u670821\u65e5\uff0c\u6cd5\u5b98\u5bf9"""
护士,"[[16, 17]]",[0],0,middle,9,5,"[""\u6cd5\u5b98"", ""\u5bf9"", ""\u82f1\u56fd""]","[""\u9732\u897f\u00b7\u83b1\u7279\u6bd4"", ""\u8c0b\u6740"", ""7""]","""\u5f53\u5730\u65f6\u95f48\u670821\u65e5\uff0c\u6cd5\u5b98\u5bf9\u82f1\u56fd"""
