tokens,text_unit_component,row,split,row_position,start_dist,end_dist,backward,forward,anterior_passage
【,[[0]],[0],0,passage_start,0,18,"[""<SOR>""]","[""\u77e5\u4e4e"", ""\u3011"", ""\u8463\u660e\u73e0""]","""<SOP>"""
知乎,"[[1, 2]]",[0],0,middle,1,17,"[""<SOR>"", ""\u3010""]","[""\u3011"", ""\u8463\u660e\u73e0"", ""\u79f0""]","""<SOP>\u3010"""
】,[[3]],[0],0,middle,2,16,"[""<SOR>"", ""\u3010"", ""\u77e5\u4e4e""]","[""\u8463\u660e\u73e0"", ""\u79f0"", ""\u300c""]","""<SOP>\u3010\u77e5\u4e4e"""
董明珠,"[[4, 5, 6]]",[0],0,middle,3,15,"[""\u3010"", ""\u77e5\u4e4e"", ""\u3011""]","[""\u79f0"", ""\u300c"", ""\u4e0d""]","""<SOP>\u3010\u77e5\u4e4e\u3011"""
称,[[7]],[0],0,middle,4,14,"[""\u77e5\u4e4e"", ""\u3011"", ""\u8463\u660e\u73e0""]","[""\u300c"", ""\u4e0d"", ""\u62db""]","""<SOP>\u3010\u77e5\u4e4e\u3011\u8463\u660e\u73e0"""
「,[[8]],[0],0,middle,5,13,"[""\u3011"", ""\u8463\u660e\u73e0"", ""\u79f0""]","[""\u4e0d"", ""\u62db"", ""\u53ea""]","""<SOP>\u3010\u77e5\u4e4e\u3011\u8463\u660e\u73e0\u79f0"""
不,[[9]],[0],0,middle,6,12,"[""\u8463\u660e\u73e0"", ""\u79f0"", ""\u300c""]","[""\u62db"", ""\u53ea"", ""\u60f3\u8981""]","""<SOP>\u3010\u77e5\u4e4e\u3011\u8463\u660e\u73e0\u79f0\u300c"""
招,[[10]],[0],0,middle,7,11,"[""\u79f0"", ""\u300c"", ""\u4e0d""]","[""\u53ea"", ""\u60f3\u8981"", ""\u591a\u5c11""]","""<SOP>\u3010\u77e5\u4e4e\u3011\u8463\u660e\u73e0\u79f0\u300c\u4e0d"""
只,[[11]],[0],0,middle,8,10,"[""\u300c"", ""\u4e0d"", ""\u62db""]","[""\u60f3\u8981"", ""\u591a\u5c11"", ""\u5de5\u8d44""]","""<SOP>\u3010\u77e5\u4e4e\u3011\u8463\u660e\u73e0\u79f0\u300c\u4e0d\u62db"""
想要,"[[12, 13]]",[0],0,middle,9,9,"[""\u4e0d"", ""\u62db"", ""\u53ea""]","[""\u591a\u5c11"", ""\u5de5\u8d44"", ""\u7684""]","""<SOP>\u3010\u77e5\u4e4e\u3011\u8463\u660e\u73e0\u79f0\u300c\u4e0d\u62db\u53ea"""
多少,"[[14, 15]]",[0],0,middle,10,8,"[""\u62db"", ""\u53ea"", ""\u60f3\u8981""]","[""\u5de5\u8d44"", ""\u7684"", ""\uff0c""]","""<SOP>\u3010\u77e5\u4e4e\u3011\u8463\u660e\u73e0\u79f0\u300c\u4e0d\u62db\u53ea\u60f3\u8981"""
工资,"[[16, 17]]",[0],0,middle,11,7,"[""\u53ea"", ""\u60f3\u8981"", ""\u591a\u5c11""]","[""\u7684"", ""\uff0c"", ""\u5e0c\u671b""]","""<SOP>\u3010\u77e5\u4e4e\u3011\u8463\u660e\u73e0\u79f0\u300c\u4e0d\u62db\u53ea\u60f3\u8981\u591a\u5c11"""
的,[[18]],[0],0,middle,12,6,"[""\u60f3\u8981"", ""\u591a\u5c11"", ""\u5de5\u8d44""]","[""\uff0c"", ""\u5e0c\u671b"", ""\u5e74\u8f7b\u4eba""]","""<SOP>\u3010\u77e5\u4e4e\u3011\u8463\u660e\u73e0\u79f0\u300c\u4e0d\u62db\u53ea\u60f3\u8981\u591a\u5c11\u5de5\u8d44"""
