tokens,text_unit_component,row,split,row_position,start_dist,end_dist,backward,forward,anterior_passage
    ,"[[0, 1]]",[0],0,passage_start,0,17,"[""<SOR>""]","[""\u9ea6\u5f53\u52b3"", ""\u79bb"", ""\u6211""]","""<SOP>"""
麦当劳,"[[2, 3, 4]]",[0],0,middle,1,16,"[""<SOR>"", ""    ""]","[""\u79bb"", ""\u6211"", ""\u5bb6""]","""<SOP>    """
离,[[5]],[0],0,middle,2,15,"[""<SOR>"", ""    "", ""\u9ea6\u5f53\u52b3""]","[""\u6211"", ""\u5bb6"", ""633m""]","""<SOP>    \u9ea6\u5f53\u52b3"""
我,[[6]],[0],0,middle,3,14,"[""    "", ""\u9ea6\u5f53\u52b3"", ""\u79bb""]","[""\u5bb6"", ""633m"", ""\u4e09\u4f0f""]","""<SOP>    \u9ea6\u5f53\u52b3\u79bb"""
家,[[7]],[0],0,middle,4,13,"[""\u9ea6\u5f53\u52b3"", ""\u79bb"", ""\u6211""]","[""633m"", ""\u4e09\u4f0f"", ""\u5929\u6c14""]","""<SOP>    \u9ea6\u5f53\u52b3\u79bb\u6211"""
633m,"[[8, 9]]",[0],0,middle,5,12,"[""\u79bb"", ""\u6211"", ""\u5bb6""]","[""\u4e09\u4f0f"", ""\u5929\u6c14"", ""\u4e0d""]","""<SOP>    \u9ea6\u5f53\u52b3\u79bb\u6211\u5bb6"""
三伏,"[[10, 11]]",[0],0,middle,6,11,"[""\u6211"", ""\u5bb6"", ""633m""]","[""\u5929\u6c14"", ""\u4e0d"", ""\u5b58\u5728""]","""<SOP>    \u9ea6\u5f53\u52b3\u79bb\u6211\u5bb6633m"""
天气,"[[12, 13]]",[0],0,middle,7,10,"[""\u5bb6"", ""633m"", ""\u4e09\u4f0f""]","[""\u4e0d"", ""\u5b58\u5728"", ""\u8ddd\u79bb""]","""<SOP>    \u9ea6\u5f53\u52b3\u79bb\u6211\u5bb6633m\u4e09\u4f0f"""
不,[[14]],[0],0,middle,8,9,"[""633m"", ""\u4e09\u4f0f"", ""\u5929\u6c14""]","[""\u5b58\u5728"", ""\u8ddd\u79bb"", ""\u5929\u6c14""]","""<SOP>    \u9ea6\u5f53\u52b3\u79bb\u6211\u5bb6633m\u4e09\u4f0f\u5929\u6c14"""
存在,"[[15, 16]]",[0],0,middle,9,8,"[""\u4e09\u4f0f"", ""\u5929\u6c14"", ""\u4e0d""]","[""\u8ddd\u79bb"", ""\u5929\u6c14"", ""\u539f\u56e0""]","""<SOP>    \u9ea6\u5f53\u52b3\u79bb\u6211\u5bb6633m\u4e09\u4f0f\u5929\u6c14\u4e0d"""
距离,"[[17, 18]]",[0],0,middle,10,7,"[""\u5929\u6c14"", ""\u4e0d"", ""\u5b58\u5728""]","[""\u5929\u6c14"", ""\u539f\u56e0"", ""\u5bfc\u81f4""]","""<SOP>    \u9ea6\u5f53\u52b3\u79bb\u6211\u5bb6633m\u4e09\u4f0f\u5929\u6c14\u4e0d\u5b58\u5728"""
天气,"[[19, 20]]",[0],0,middle,11,6,"[""\u4e0d"", ""\u5b58\u5728"", ""\u8ddd\u79bb""]","[""\u539f\u56e0"", ""\u5bfc\u81f4"", ""\u9910\u98df""]","""<SOP>    \u9ea6\u5f53\u52b3\u79bb\u6211\u5bb6633m\u4e09\u4f0f\u5929\u6c14\u4e0d\u5b58\u5728\u8ddd\u79bb"""
原因,"[[21, 22]]",[0],0,middle,12,5,"[""\u5b58\u5728"", ""\u8ddd\u79bb"", ""\u5929\u6c14""]","[""\u5bfc\u81f4"", ""\u9910\u98df"", ""\u4e0d""]","""<SOP>    \u9ea6\u5f53\u52b3\u79bb\u6211\u5bb6633m\u4e09\u4f0f\u5929\u6c14\u4e0d\u5b58\u5728\u8ddd\u79bb\u5929\u6c14"""
