tokens,text_unit_component,row,split,row_position,start_dist,end_dist,backward,forward,anterior_passage
    ,"[[0, 1]]",[0],0,passage_start,0,17,"[""<SOR>""]","[""\u6211"", ""\u5c0f\u65f6\u5019"", ""\u57fa\u672c""]","""<SOP>"""
我,[[2]],[0],0,middle,1,16,"[""<SOR>"", ""    ""]","[""\u5c0f\u65f6\u5019"", ""\u57fa\u672c"", ""\u4e0d""]","""<SOP>    """
小时候,"[[3, 4, 5]]",[0],0,middle,2,15,"[""<SOR>"", ""    "", ""\u6211""]","[""\u57fa\u672c"", ""\u4e0d"", ""\u7740\u5bb6""]","""<SOP>    \u6211"""
基本,"[[6, 7]]",[0],0,middle,3,14,"[""    "", ""\u6211"", ""\u5c0f\u65f6\u5019""]","[""\u4e0d"", ""\u7740\u5bb6"", ""\uff0c""]","""<SOP>    \u6211\u5c0f\u65f6\u5019"""
不,[[8]],[0],0,middle,4,13,"[""\u6211"", ""\u5c0f\u65f6\u5019"", ""\u57fa\u672c""]","[""\u7740\u5bb6"", ""\uff0c"", ""\u5929\u5929""]","""<SOP>    \u6211\u5c0f\u65f6\u5019\u57fa\u672c"""
着家,"[[9, 10]]",[0],0,middle,5,12,"[""\u5c0f\u65f6\u5019"", ""\u57fa\u672c"", ""\u4e0d""]","[""\uff0c"", ""\u5929\u5929"", ""\u548c""]","""<SOP>    \u6211\u5c0f\u65f6\u5019\u57fa\u672c\u4e0d"""
，,[[11]],[0],0,middle,6,11,"[""\u57fa\u672c"", ""\u4e0d"", ""\u7740\u5bb6""]","[""\u5929\u5929"", ""\u548c"", ""\u90bb\u5c45""]","""<SOP>    \u6211\u5c0f\u65f6\u5019\u57fa\u672c\u4e0d\u7740\u5bb6"""
天天,"[[12, 13]]",[0],0,middle,7,10,"[""\u4e0d"", ""\u7740\u5bb6"", ""\uff0c""]","[""\u548c"", ""\u90bb\u5c45"", ""\u5c0f\u4f19\u4f34\u4eec""]","""\u6211\u5c0f\u65f6\u5019\u57fa\u672c\u4e0d\u7740\u5bb6\uff0c"""
和,[[14]],[0],0,middle,8,9,"[""\u7740\u5bb6"", ""\uff0c"", ""\u5929\u5929""]","[""\u90bb\u5c45"", ""\u5c0f\u4f19\u4f34\u4eec"", ""\u5728""]","""\u6211\u5c0f\u65f6\u5019\u57fa\u672c\u4e0d\u7740\u5bb6\uff0c\u5929\u5929"""
邻居,"[[15, 16]]",[0],0,middle,9,8,"[""\uff0c"", ""\u5929\u5929"", ""\u548c""]","[""\u5c0f\u4f19\u4f34\u4eec"", ""\u5728"", ""\u5916\u9762""]","""\u6211\u5c0f\u65f6\u5019\u57fa\u672c\u4e0d\u7740\u5bb6\uff0c\u5929\u5929\u548c"""
小伙伴们,"[[17, 18, 19, 20]]",[0],0,middle,10,7,"[""\u5929\u5929"", ""\u548c"", ""\u90bb\u5c45""]","[""\u5728"", ""\u5916\u9762"", ""\u75af""]","""\u6211\u5c0f\u65f6\u5019\u57fa\u672c\u4e0d\u7740\u5bb6\uff0c\u5929\u5929\u548c\u90bb\u5c45"""
在,[[21]],[0],0,middle,11,6,"[""\u548c"", ""\u90bb\u5c45"", ""\u5c0f\u4f19\u4f34\u4eec""]","[""\u5916\u9762"", ""\u75af"", ""\u73a9""]","""\u6211\u5c0f\u65f6\u5019\u57fa\u672c\u4e0d\u7740\u5bb6\uff0c\u5929\u5929\u548c\u90bb\u5c45\u5c0f\u4f19\u4f34\u4eec"""
外面,"[[22, 23]]",[0],0,middle,12,5,"[""\u90bb\u5c45"", ""\u5c0f\u4f19\u4f34\u4eec"", ""\u5728""]","[""\u75af"", ""\u73a9"", ""\uff0c""]","""\u6211\u5c0f\u65f6\u5019\u57fa\u672c\u4e0d\u7740\u5bb6\uff0c\u5929\u5929\u548c\u90bb\u5c45\u5c0f\u4f19\u4f34\u4eec\u5728"""
疯,[[24]],[0],0,middle,13,4,"[""\u5c0f\u4f19\u4f34\u4eec"", ""\u5728"", ""\u5916\u9762""]","[""\u73a9"", ""\uff0c"", ""\u722c\u6811""]","""\u6211\u5c0f\u65f6\u5019\u57fa\u672c\u4e0d\u7740\u5bb6\uff0c\u5929\u5929\u548c\u90bb\u5c45\u5c0f\u4f19\u4f34\u4eec\u5728\u5916\u9762"""
玩,[[25]],[0],0,middle,14,3,"[""\u5728"", ""\u5916\u9762"", ""\u75af""]","[""\uff0c"", ""\u722c\u6811"", ""\u6349""]","""\u6211\u5c0f\u65f6\u5019\u57fa\u672c\u4e0d\u7740\u5bb6\uff0c\u5929\u5929\u548c\u90bb\u5c45\u5c0f\u4f19\u4f34\u4eec\u5728\u5916\u9762\u75af"""
，,[[26]],[0],0,middle,15,2,"[""\u5916\u9762"", ""\u75af"", ""\u73a9""]","[""\u722c\u6811"", ""\u6349"", ""<EOR>""]","""\u6211\u5c0f\u65f6\u5019\u57fa\u672c\u4e0d\u7740\u5bb6\uff0c\u5929\u5929\u548c\u90bb\u5c45\u5c0f\u4f19\u4f34\u4eec\u5728\u5916\u9762\u75af\u73a9"""
爬树,"[[27, 28]]",[0],0,middle,16,1,"[""\u75af"", ""\u73a9"", ""\uff0c""]","[""\u6349"", ""<EOR>""]","""\u5929\u5929\u548c\u90bb\u5c45\u5c0f\u4f19\u4f34\u4eec\u5728\u5916\u9762\u75af\u73a9\uff0c"""
