tokens,text_unit_component,row,split,row_position,start_dist,end_dist,backward,forward,anterior_passage
《,[[0]],[0],0,passage_start,0,3,"[""<SOR>""]","[""\u5965\u672c\u6d77\u9ed8"", ""\u300b"", ""\u5267\u8bc4""]","""<SOP>"""
奥本海默,"[[1, 2, 3, 4]]",[0],0,middle,1,2,"[""<SOR>"", ""\u300a""]","[""\u300b"", ""\u5267\u8bc4"", ""<EOR>""]","""<SOP>\u300a"""
》,[[5]],[0],0,middle,2,1,"[""<SOR>"", ""\u300a"", ""\u5965\u672c\u6d77\u9ed8""]","[""\u5267\u8bc4"", ""<EOR>""]","""<SOP>\u300a\u5965\u672c\u6d77\u9ed8"""
剧评,"[[6, 7]]",[0],0,row_end,3,0,"[""\u300a"", ""\u5965\u672c\u6d77\u9ed8"", ""\u300b""]","[""<EOR>""]","""<SOP>\u300a\u5965\u672c\u6d77\u9ed8\u300b"""
    ,"[[0, 1]]",[1],0,row_start,0,15,"[""<SOR>""]","[""IMAX"", ""\u80f6\u7247\u673a"", ""\u62cd""]","""<SOP>\u300a\u5965\u672c\u6d77\u9ed8\u300b\u5267\u8bc4"""
IMAX,"[[2, 3]]",[1],0,middle,1,14,"[""<SOR>"", ""    ""]","[""\u80f6\u7247\u673a"", ""\u62cd"", ""\u51fa\u6765""]","""<SOP>\u300a\u5965\u672c\u6d77\u9ed8\u300b\u5267\u8bc4    """
胶片机,"[[4, 5, 6]]",[1],0,middle,2,13,"[""<SOR>"", ""    "", ""IMAX""]","[""\u62cd"", ""\u51fa\u6765"", ""\u7684""]","""<SOP>\u300a\u5965\u672c\u6d77\u9ed8\u300b\u5267\u8bc4    IMAX"""
拍,[[7]],[1],0,middle,3,12,"[""    "", ""IMAX"", ""\u80f6\u7247\u673a""]","[""\u51fa\u6765"", ""\u7684"", ""1.43:1""]","""<SOP>\u300a\u5965\u672c\u6d77\u9ed8\u300b\u5267\u8bc4    IMAX\u80f6\u7247\u673a"""
出来,"[[8, 9]]",[1],0,middle,4,11,"[""IMAX"", ""\u80f6\u7247\u673a"", ""\u62cd""]","[""\u7684"", ""1.43:1"", ""\u7684""]","""<SOP>\u300a\u5965\u672c\u6d77\u9ed8\u300b\u5267\u8bc4    IMAX\u80f6\u7247\u673a\u62cd"""
的,[[10]],[1],0,middle,5,10,"[""\u80f6\u7247\u673a"", ""\u62cd"", ""\u51fa\u6765""]","[""1.43:1"", ""\u7684"", ""\u5168""]","""<SOP>\u300a\u5965\u672c\u6d77\u9ed8\u300b\u5267\u8bc4    IMAX\u80f6\u7247\u673a\u62cd\u51fa\u6765"""
1.43:1,"[[11, 12, 13]]",[1],0,middle,6,9,"[""\u62cd"", ""\u51fa\u6765"", ""\u7684""]","[""\u7684"", ""\u5168"", ""\u753b\u5e45""]","""<SOP>\u300a\u5965\u672c\u6d77\u9ed8\u300b\u5267\u8bc4    IMAX\u80f6\u7247\u673a\u62cd\u51fa\u6765\u7684"""
的,[[14]],[1],0,middle,7,8,"[""\u51fa\u6765"", ""\u7684"", ""1.43:1""]","[""\u5168"", ""\u753b\u5e45"", ""\u5728""]","""<SOP>\u300a\u5965\u672c\u6d77\u9ed8\u300b\u5267\u8bc4    IMAX\u80f6\u7247\u673a\u62cd\u51fa\u6765\u76841.43:1"""
全,[[15]],[1],0,middle,8,7,"[""\u7684"", ""1.43:1"", ""\u7684""]","[""\u753b\u5e45"", ""\u5728"", ""IMAX_GT""]","""<SOP>\u300a\u5965\u672c\u6d77\u9ed8\u300b\u5267\u8bc4    IMAX\u80f6\u7247\u673a\u62cd\u51fa\u6765\u76841.43:1\u7684"""
