tokens,text_unit_component,row,split,row_position,start_dist,end_dist,backward,forward,anterior_passage
是,[[11]],[2],0,middle,7,13,"[""\u53eb"", ""\u9ec4\u9152"", ""\u3002""]","[""\u7c73"", ""\u53d1\u9175"", ""\u505a""]","""\u8944\u9633\u7ba1\u8fd9\u4e2a\u53eb\u9ec4\u9152\u3002"""
米,[[12]],[2],0,middle,8,12,"[""\u9ec4\u9152"", ""\u3002"", ""\u662f""]","[""\u53d1\u9175"", ""\u505a"", ""\u7684""]","""\u8944\u9633\u7ba1\u8fd9\u4e2a\u53eb\u9ec4\u9152\u3002\u662f"""
发酵,"[[13, 14]]",[2],0,middle,9,11,"[""\u3002"", ""\u662f"", ""\u7c73""]","[""\u505a"", ""\u7684"", ""\u9152""]","""\u8944\u9633\u7ba1\u8fd9\u4e2a\u53eb\u9ec4\u9152\u3002\u662f\u7c73"""
做,[[15]],[2],0,middle,10,10,"[""\u662f"", ""\u7c73"", ""\u53d1\u9175""]","[""\u7684"", ""\u9152"", ""\u3002""]","""\u8944\u9633\u7ba1\u8fd9\u4e2a\u53eb\u9ec4\u9152\u3002\u662f\u7c73\u53d1\u9175"""
的,[[16]],[2],0,middle,11,9,"[""\u7c73"", ""\u53d1\u9175"", ""\u505a""]","[""\u9152"", ""\u3002"", ""\u53d1\u9175""]","""\u8944\u9633\u7ba1\u8fd9\u4e2a\u53eb\u9ec4\u9152\u3002\u662f\u7c73\u53d1\u9175\u505a"""
酒,[[17]],[2],0,middle,12,8,"[""\u53d1\u9175"", ""\u505a"", ""\u7684""]","[""\u3002"", ""\u53d1\u9175"", ""\u7a0b\u5ea6""]","""\u8944\u9633\u7ba1\u8fd9\u4e2a\u53eb\u9ec4\u9152\u3002\u662f\u7c73\u53d1\u9175\u505a\u7684"""
。,[[18]],[2],0,middle,13,7,"[""\u505a"", ""\u7684"", ""\u9152""]","[""\u53d1\u9175"", ""\u7a0b\u5ea6"", ""\u548c""]","""\u8944\u9633\u7ba1\u8fd9\u4e2a\u53eb\u9ec4\u9152\u3002\u662f\u7c73\u53d1\u9175\u505a\u7684\u9152"""
发酵,"[[19, 20]]",[2],0,middle,14,6,"[""\u7684"", ""\u9152"", ""\u3002""]","[""\u7a0b\u5ea6"", ""\u548c"", ""\u5404""]","""\u662f\u7c73\u53d1\u9175\u505a\u7684\u9152\u3002"""
程度,"[[21, 22]]",[2],0,middle,15,5,"[""\u9152"", ""\u3002"", ""\u53d1\u9175""]","[""\u548c"", ""\u5404"", ""\u79cd""]","""\u662f\u7c73\u53d1\u9175\u505a\u7684\u9152\u3002\u53d1\u9175"""
和,[[23]],[2],0,middle,16,4,"[""\u3002"", ""\u53d1\u9175"", ""\u7a0b\u5ea6""]","[""\u5404"", ""\u79cd"", ""\u5fae\u751f\u7269""]","""\u662f\u7c73\u53d1\u9175\u505a\u7684\u9152\u3002\u53d1\u9175\u7a0b\u5ea6"""
