index,username,iteration,phase,time,gaze_x,gaze_y,speed,matrix_x,matrix_y
0,0905-8-dcx,4,cali,1693911607.3845718,failed,failed,2.23606797749979,6,1
0,0905-8-dcx,4,cali,1693911607.4487748,619.6208918042706,338.8609157289608,2.23606797749979,6,1
1,0905-8-dcx,4,cali,1693911607.4808652,618.6951252658434,338.83136410106425,1.0,6,1
2,0905-8-dcx,4,cali,1693911607.5128615,618.6951252658434,338.83136410106425,0.0,6,1
3,0905-8-dcx,4,cali,1693911607.5448627,617.7552567703241,337.79427338434994,1.4142135623730951,6,1
4,0905-8-dcx,4,cali,1693911607.5777516,617.7693334716917,338.80181166697355,1.0,6,1
5,0905-8-dcx,4,cali,1693911607.6090755,617.7693334716917,338.80181166697355,0.0,6,1
6,0905-8-dcx,4,cali,1693911607.625107,617.7693334716917,338.80181166697355,0.0,6,1
7,0905-8-dcx,4,cali,1693911607.6571028,617.7693334716917,338.80181166697355,0.0,6,1
8,0905-8-dcx,4,cali,1693911607.6891322,617.7693334716917,338.80181166697355,0.0,6,1
9,0905-8-dcx,4,cali,1693911607.7205536,616.8435164207816,338.77225842665536,1.0,6,1
10,0905-8-dcx,4,cali,1693911607.752918,617.7693334716917,338.80181166697355,1.0,6,1
11,0905-8-dcx,4,cali,1693911607.7849584,616.8435164207816,338.77225842665536,1.0,6,1
12,0905-8-dcx,4,cali,1693911607.817245,616.8435164207816,338.77225842665536,0.0,6,1
13,0905-8-dcx,4,cali,1693911607.8483508,617.7693334716917,338.80181166697355,1.0,6,1
14,0905-8-dcx,4,cali,1693911607.8809707,617.7693334716917,338.80181166697355,0.0,6,1
15,0905-8-dcx,4,cali,1693911607.896876,617.7693334716917,338.80181166697355,0.0,6,1
16,0905-8-dcx,4,cali,1693911607.92888,617.7693334716917,338.80181166697355,0.0,6,1
17,0905-8-dcx,4,cali,1693911607.9608805,617.7693334716917,338.80181166697355,0.0,6,1
18,0905-8-dcx,4,cali,1693911607.9928792,617.7693334716917,338.80181166697355,0.0,6,1
19,0905-8-dcx,4,cali,1693911608.0251698,618.6951252658434,338.83136410106425,1.0,6,1
20,0905-8-dcx,4,cali,1693911608.0571687,618.6951252658434,338.83136410106425,0.0,6,1
21,0905-8-dcx,4,cali,1693911608.0884988,618.7091586002986,339.83879610271356,1.0,6,1
22,0905-8-dcx,4,cali,1693911608.1206472,618.7091586002986,339.83879610271356,0.0,6,1
23,0905-8-dcx,4,cali,1693911608.1539235,618.7091586002986,339.83879610271356,0.0,6,1
24,0905-8-dcx,4,cali,1693911608.1699233,618.7091586002986,339.83879610271356,0.0,6,1
25,0905-8-dcx,4,cali,1693911608.2010715,618.7091586002986,339.83879610271356,0.0,6,1
26,0905-8-dcx,4,cali,1693911608.2330737,618.7091586002986,339.83879610271356,0.0,6,1
27,0905-8-dcx,4,cali,1693911608.2651012,619.6348830483261,339.86833265232343,1.0,6,1
28,0905-8-dcx,4,cali,1693911608.297289,619.6348830483261,339.86833265232343,0.0,6,1
29,0905-8-dcx,4,cali,1693911608.329202,619.6348830483261,339.86833265232343,0.0,6,1
30,0905-8-dcx,4,cali,1693911608.360352,619.6348830483261,339.86833265232343,0.0,6,1
31,0905-8-dcx,4,cali,1693911608.3926568,619.6348830483261,339.86833265232343,0.0,6,1
32,0905-8-dcx,4,cali,1693911608.424965,619.6348830483261,339.86833265232343,0.0,6,1
33,0905-8-dcx,4,cali,1693911608.4411142,619.6348830483261,339.86833265232343,0.0,6,1
34,0905-8-dcx,4,cali,1693911608.4723608,619.6348830483261,339.86833265232343,0.0,6,1
35,0905-8-dcx,4,cali,1693911608.504358,619.6348830483261,339.86833265232343,0.0,6,1
36,0905-8-dcx,4,cali,1693911608.536837,619.6348830483261,339.86833265232343,0.0,6,1
0,0905-8-dcx,4,cali,1693911609.3204496,failed,failed,1.0,25,4
0,0905-8-dcx,4,cali,1693911609.384817,1378.5475264764602,537.9411059742781,1.0,25,4
1,0905-8-dcx,4,cali,1693911609.416772,1378.5674981746042,536.9615861985822,1.0,25,4
2,0905-8-dcx,4,cali,1693911609.4483478,1378.5674981746042,536.9615861985822,0.0,25,4
3,0905-8-dcx,4,cali,1693911609.4806411,1378.5674981746042,536.9615861985822,0.0,25,4
4,0905-8-dcx,4,cali,1693911609.496725,1378.5475264764602,537.9411059742781,1.0,25,4
5,0905-8-dcx,4,cali,1693911609.5286524,1379.4455192194857,537.9674313624203,1.0,25,4
6,0905-8-dcx,4,cali,1693911609.560822,1379.42550969289,538.9468498858489,1.0,25,4
7,0905-8-dcx,4,cali,1693911609.5931382,1379.42550969289,538.9468498858489,0.0,25,4
8,0905-8-dcx,4,cali,1693911609.6252823,1379.4455192194857,537.9674313624203,1.0,25,4
9,0905-8-dcx,4,cali,1693911609.6565533,1379.4455192194857,537.9674313624203,0.0,25,4
10,0905-8-dcx,4,cali,1693911609.6889277,1379.4455192194857,537.9674313624203,0.0,25,4
11,0905-8-dcx,4,cali,1693911609.7214165,1379.4455192194857,537.9674313624203,0.0,25,4
12,0905-8-dcx,4,cali,1693911609.7524538,1379.4455192194857,537.9674313624203,0.0,25,4
13,0905-8-dcx,4,cali,1693911609.784732,1379.465530523005,536.9879258628226,1.0,25,4
14,0905-8-dcx,4,cali,1693911609.8010862,1379.465530523005,536.9879258628226,0.0,25,4
15,0905-8-dcx,4,cali,1693911609.8330634,1378.5674981746042,536.9615861985822,1.0,25,4
16,0905-8-dcx,4,cali,1693911609.8652122,1378.5475264764602,537.9411059742781,1.0,25,4
