original_index,username,iteration,phase,time,gaze_x,gaze_y,speed,matrix_x,matrix_y,density
0,0905-2-fwh,27.0,word,1693884983.7993546,714.9999999999999,455.0,58.00862004909271,24.0,0.0,3
1,0905-2-fwh,27.0,word,1693884983.8315873,715.0,426.0,29.0,24.0,0.0,10
2,0905-2-fwh,27.0,word,1693884983.8639128,716.0,411.0,15.033296378372908,24.0,0.0,10
3,0905-2-fwh,27.0,word,1693884983.8799126,716.9999999999999,404.9999999999999,6.082762530298219,24.0,0.0,11
4,0905-2-fwh,27.0,word,1693884983.911253,717.0,402.0,3.0,24.0,0.0,12
5,0905-2-fwh,27.0,word,1693884983.9434302,716.9999999999999,400.0,2.0,24.0,0.0,13
6,0905-2-fwh,27.0,word,1693884983.9757533,716.0000000000001,401.0,1.4142135623730951,24.0,0.0,13
7,0905-2-fwh,27.0,word,1693884984.0080123,714.9999999999999,394.0,7.071067811865476,24.0,0.0,12
8,0905-2-fwh,27.0,word,1693884984.039653,709.0,363.0,31.575306807693888,24.0,0.0,8
9,0905-2-fwh,27.0,word,1693884984.0717916,701.0,330.99999999999994,32.984845004941285,24.0,0.0,12
10,0905-2-fwh,27.0,word,1693884984.1039186,695.0000000000001,308.99999999999994,22.80350850198276,24.0,0.0,12
11,0905-2-fwh,27.0,word,1693884984.136125,690.0,295.99999999999994,13.92838827718412,24.0,0.0,11
12,0905-2-fwh,27.0,word,1693884984.167426,688.0000000000001,287.00000000000006,9.219544457292889,24.0,0.0,8
13,0905-2-fwh,27.0,word,1693884984.1835773,692.0,279.99999999999994,8.06225774829855,24.0,0.0,10
14,0905-2-fwh,27.0,word,1693884984.2156212,732.0000000000001,271.0,41.0,24.0,0.0,25
15,0905-2-fwh,27.0,word,1693884984.247921,772.9999999999999,263.99999999999994,41.593268686170845,24.0,0.0,10
16,0905-2-fwh,27.0,word,1693884984.2791984,804.0,256.9999999999999,31.78049716414141,24.0,0.0,11
17,0905-2-fwh,27.0,word,1693884984.3113484,827.0,250.99999999999991,23.769728648009423,24.0,0.0,7
18,0905-2-fwh,27.0,word,1693884984.3435316,821.0000000000001,247.0,7.211102550927978,24.0,0.0,9
19,0905-2-fwh,27.0,word,1693884984.3755472,798.0000000000001,244.0,23.194827009486403,24.0,0.0,12
20,0905-2-fwh,27.0,word,1693884984.408782,782.0000000000001,244.99999999999991,16.0312195418814,24.0,0.0,13
21,0905-2-fwh,27.0,word,1693884984.42393,771.0000000000001,245.00000000000009,11.0,24.0,0.0,10
22,0905-2-fwh,27.0,word,1693884984.455197,760.9999999999999,245.0,10.0,24.0,0.0,10
23,0905-2-fwh,27.0,word,1693884984.4872308,785.0000000000001,243.99999999999997,24.020824298928627,24.0,0.0,11
24,0905-2-fwh,27.0,word,1693884984.5194771,894.0,246.0,109.01834707974616,24.0,0.0,6
25,0905-2-fwh,27.0,word,1693884984.551716,1029.0,249.99999999999997,135.05924625881784,24.0,0.0,6
26,0905-2-fwh,27.0,word,1693884984.58377,1120.9999999999998,253.99999999999991,92.0869154657707,24.0,0.0,8
27,0905-2-fwh,27.0,word,1693884984.615791,1175.0,256.99999999999994,54.08326913195984,24.0,0.0,11
28,0905-2-fwh,27.0,word,1693884984.6477914,1206.0,260.0,31.14482300479488,24.0,0.0,21
29,0905-2-fwh,27.0,word,1693884984.6792405,1221.9999999999998,259.99999999999994,16.0,24.0,0.0,30
30,0905-2-fwh,27.0,word,1693884984.6955204,1231.0,259.0,9.055385138137416,24.0,0.0,29
31,0905-2-fwh,27.0,word,1693884984.7277882,1249.0,258.9999999999999,18.0,24.0,0.0,39
32,0905-2-fwh,27.0,word,1693884984.7599432,1274.0000000000002,258.99999999999994,25.0,24.0,0.0,43
33,0905-2-fwh,27.0,word,1693884984.7917197,1292.0,258.00000000000006,18.027756377319943,24.0,0.0,41
34,0905-2-fwh,27.0,word,1693884984.8237436,1303.9999999999998,259.0,12.041594578792296,24.0,0.0,43
35,0905-2-fwh,27.0,word,1693884984.8552134,1310.9999999999998,258.0,7.071067811865476,24.0,0.0,43
36,0905-2-fwh,27.0,word,1693884984.8873684,1316.0000000000002,259.0,5.0990195135927845,24.0,0.0,42
37,0905-2-fwh,27.0,word,1693884984.919865,1320.0,259.0,4.0,24.0,0.0,36
38,0905-2-fwh,27.0,word,1693884984.9520483,1351.0,256.0,31.14482300479488,24.0,0.0,20
39,0905-2-fwh,27.0,word,1693884984.968048,1408.9999999999995,250.9999999999999,58.215118311311535,24.0,0.0,6
40,0905-2-fwh,27.0,word,1693884984.9993696,1454.0,248.99999999999991,45.044422518220834,24.0,0.0,5
41,0905-2-fwh,27.0,word,1693884985.0316794,1487.9999999999995,247.99999999999997,34.0147027033899,24.0,0.0,4
42,0905-2-fwh,27.0,word,1693884985.0639942,1503.0,244.99999999999991,15.297058540778355,24.0,0.0,4
43,0905-2-fwh,27.0,word,1693884985.1598892,1339.0,238.00000000000003,164.14932226482082,24.0,0.0,23
44,0905-2-fwh,27.0,word,1693884985.1914043,1119.9999999999998,260.99999999999994,220.20445045457188,24.0,0.0,8
45,0905-2-fwh,27.0,word,1693884985.2234335,884.0,282.99999999999983,237.0232056149777,24.0,0.0,30
46,0905-2-fwh,27.0,word,1693884985.2395144,724.0000000000001,304.9999999999999,161.50541786577935,24.0,0.0,23
47,0905-2-fwh,27.0,word,1693884985.2717912,638.0,316.0,86.70063436907483,24.0,0.0,10
48,0905-2-fwh,27.0,word,1693884985.303805,598.0,323.99999999999994,40.79215610874228,24.0,0.0,12
49,0905-2-fwh,27.0,word,1693884985.3357196,578.0000000000001,326.0,20.09975124224178,24.0,0.0,16
50,0905-2-fwh,27.0,word,1693884985.3679228,567.0,326.99999999999994,11.04536101718726,24.0,0.0,16
51,0905-2-fwh,27.0,word,1693884985.39932,560.9999999999998,327.99999999999994,6.082762530298219,24.0,0.0,14
52,0905-2-fwh,27.0,word,1693884985.4313805,574.0,328.99999999999994,13.038404810405298,24.0,0.0,15
53,0905-2-fwh,27.0,word,1693884985.463437,616.0,327.99999999999994,42.01190307520001,24.0,0.0,11
54,0905-2-fwh,27.0,word,1693884985.4958098,638.9999999999999,326.99999999999994,23.021728866442675,24.0,0.0,8
55,0905-2-fwh,27.0,word,1693884985.5120916,686.9999999999999,322.9999999999999,48.16637831516918,24.0,0.0,8
56,0905-2-fwh,27.0,word,1693884985.5432825,738.9999999999999,317.0,52.3450093132096,24.0,0.0,19
57,0905-2-fwh,27.0,word,1693884985.5753362,782.9999999999999,312.99999999999994,44.181444068749045,24.0,0.0,13
58,0905-2-fwh,27.0,word,1693884985.6077363,814.9999999999999,307.99999999999994,32.38826948140329,24.0,0.0,4
59,0905-2-fwh,27.0,word,1693884985.6400387,860.0,308.99999999999994,45.0111097397076,24.0,0.0,18
60,0905-2-fwh,27.0,word,1693884985.6720035,910.0,310.99999999999994,50.039984012787215,24.0,0.0,30
61,0905-2-fwh,27.0,word,1693884985.7040029,945.0,310.0,35.0142828000232,24.0,0.0,11
63,0905-2-fwh,27.0,word,1693884985.8160007,1181.0,567.9999999999999,238.4365743756608,24.0,0.0,0
64,0905-2-fwh,27.0,word,1693884985.848001,1218.0,496.00000000000006,80.95060222135473,24.0,0.0,1
65,0905-2-fwh,27.0,word,1693884985.8800027,1248.9999999999998,410.9999999999999,90.47651629014015,24.0,0.0,1
66,0905-2-fwh,27.0,word,1693884985.911357,1267.9999999999998,357.99999999999994,56.302753041036986,24.0,0.0,22
67,0905-2-fwh,27.0,word,1693884985.9436092,1279.0000000000002,330.0,30.083217912982647,24.0,0.0,29
68,0905-2-fwh,27.0,word,1693884985.9758365,1287.0000000000002,317.99999999999994,14.422205101855956,24.0,0.0,22
69,0905-2-fwh,27.0,word,1693884986.0078602,1283.0,314.00000000000006,5.656854249492381,24.0,0.0,25
70,0905-2-fwh,27.0,word,1693884986.039215,1272.9999999999998,311.99999999999994,10.198039027185567,24.0,0.0,28
71,0905-2-fwh,27.0,word,1693884986.0561044,1265.9999999999995,310.99999999999994,7.071067811865476,24.0,0.0,29
72,0905-2-fwh,27.0,word,1693884986.0872762,1261.0,309.9999999999999,5.0990195135927845,24.0,0.0,29
73,0905-2-fwh,27.0,word,1693884986.1195958,1258.9999999999998,308.99999999999994,2.23606797749979,24.0,0.0,28
74,0905-2-fwh,27.0,word,1693884986.1521485,1255.0,307.99999999999994,4.123105625617661,24.0,0.0,29
75,0905-2-fwh,27.0,word,1693884986.1835015,1234.0,300.0,22.47220505424423,24.0,0.0,20
76,0905-2-fwh,27.0,word,1693884986.2156255,1194.9999999999998,284.99999999999994,41.78516483155236,24.0,0.0,8
77,0905-2-fwh,27.0,word,1693884986.2477355,1156.9999999999995,270.00000000000006,40.85339643163099,24.0,0.0,9
78,0905-2-fwh,27.0,word,1693884986.2797253,1126.0000000000002,259.0,32.89376840679705,24.0,0.0,8
79,0905-2-fwh,27.0,word,1693884986.311244,1102.9999999999998,250.99999999999997,24.35159132377184,24.0,0.0,6
80,0905-2-fwh,27.0,word,1693884986.3282442,1049.0,247.00000000000003,54.147945482723536,24.0,0.0,6
81,0905-2-fwh,27.0,word,1693884986.3591857,988.0,242.99999999999997,61.1310068623117,24.0,0.0,5
82,0905-2-fwh,27.0,word,1693884986.3913395,945.0,239.99999999999991,43.10452412450461,24.0,0.0,3
83,0905-2-fwh,27.0,word,1693884986.4234717,919.0000000000002,237.0,26.1725046566048,24.0,0.0,7
84,0905-2-fwh,27.0,word,1693884986.4557312,901.0,236.0,18.027756377319943,24.0,0.0,5
85,0905-2-fwh,27.0,word,1693884986.4877765,889.9999999999999,236.0,11.0,24.0,0.0,5
86,0905-2-fwh,27.0,word,1693884986.5194418,883.9999999999998,235.99999999999991,6.0,24.0,0.0,6
87,0905-2-fwh,27.0,word,1693884986.5516984,847.9999999999999,235.99999999999991,36.0,24.0,0.0,5
88,0905-2-fwh,27.0,word,1693884986.5836537,789.9999999999999,236.0,58.0,24.0,0.0,12
89,0905-2-fwh,27.0,word,1693884986.599646,743.0000000000001,237.0,47.01063709417264,24.0,0.0,9
90,0905-2-fwh,27.0,word,1693884986.631944,714.9999999999999,238.0,28.0178514522438,24.0,0.0,11
91,0905-2-fwh,27.0,word,1693884986.6632314,696.9999999999999,237.0,18.027756377319943,24.0,0.0,16
92,0905-2-fwh,27.0,word,1693884986.6955411,684.0000000000001,237.0,13.0,24.0,0.0,19
93,0905-2-fwh,27.0,word,1693884986.7277887,673.0,237.99999999999997,11.04536101718726,24.0,0.0,23
94,0905-2-fwh,27.0,word,1693884986.7597935,659.9999999999999,241.0,13.341664064126334,24.0,0.0,24
95,0905-2-fwh,27.0,word,1693884986.7920575,650.0,242.00000000000003,10.04987562112089,24.0,0.0,25
96,0905-2-fwh,27.0,word,1693884986.8237357,643.0000000000001,243.0,7.071067811865476,24.0,0.0,27
97,0905-2-fwh,27.0,word,1693884986.8398433,639.0,243.0,4.0,24.0,0.0,28
98,0905-2-fwh,27.0,word,1693884986.8714054,635.0000000000001,243.0,4.0,24.0,0.0,29
99,0905-2-fwh,27.0,word,1693884986.903701,637.0000000000001,243.99999999999997,2.23606797749979,24.0,0.0,29
100,0905-2-fwh,27.0,word,1693884986.9359684,666.0,243.0,29.017236257093817,24.0,0.0,24
101,0905-2-fwh,27.0,word,1693884986.967976,812.0,242.99999999999991,146.0,24.0,0.0,10
102,0905-2-fwh,27.0,word,1693884986.9993436,970.0,245.00000000000003,158.01265772082945,24.0,0.0,5
103,0905-2-fwh,27.0,word,1693884987.03179,1071.9999999999998,246.0,102.00490184299969,24.0,0.0,5
104,0905-2-fwh,27.0,word,1693884987.0640202,1125.0,244.99999999999997,53.009433122794285,24.0,0.0,7
105,0905-2-fwh,27.0,word,1693884987.095312,1155.0,244.99999999999997,30.0,24.0,0.0,10
106,0905-2-fwh,27.0,word,1693884987.1277318,1171.9999999999998,242.99999999999991,17.11724276862369,24.0,0.0,9
107,0905-2-fwh,27.0,word,1693884987.1437795,1183.0,242.00000000000003,11.04536101718726,24.0,0.0,8
108,0905-2-fwh,27.0,word,1693884987.176087,1188.9999999999995,241.0,6.082762530298219,24.0,0.0,9
109,0905-2-fwh,27.0,word,1693884987.207234,1208.0,241.0,19.0,24.0,0.0,20
110,0905-2-fwh,27.0,word,1693884987.2395382,1231.9999999999998,240.99999999999997,24.0,24.0,0.0,26
111,0905-2-fwh,27.0,word,1693884987.2718062,1250.0000000000002,242.00000000000009,18.027756377319943,24.0,0.0,34
112,0905-2-fwh,27.0,word,1693884987.3038876,1260.9999999999998,242.99999999999997,11.04536101718726,24.0,0.0,40
113,0905-2-fwh,27.0,word,1693884987.3352356,1267.9999999999998,242.00000000000009,7.071067811865476,24.0,0.0,44
114,0905-2-fwh,27.0,word,1693884987.3672898,1274.0,242.00000000000003,6.0,24.0,0.0,43
115,0905-2-fwh,27.0,word,1693884987.3994172,1277.9999999999998,241.0,4.123105625617661,24.0,0.0,43
116,0905-2-fwh,27.0,word,1693884987.4154582,1280.9999999999998,240.0,3.1622776601683795,24.0,0.0,41
117,0905-2-fwh,27.0,word,1693884987.4477603,1283.0,239.0,2.23606797749979,24.0,0.0,40
118,0905-2-fwh,27.0,word,1693884987.4792633,1284.0,238.00000000000009,1.4142135623730951,24.0,0.0,39
119,0905-2-fwh,27.0,word,1693884987.512616,1284.9999999999998,237.0,1.4142135623730951,24.0,0.0,38
120,0905-2-fwh,27.0,word,1693884987.5439026,1292.9999999999998,235.99999999999997,8.06225774829855,24.0,0.0,34
